"English","Italian","IPA","Tags"
"forty-three","quarantatré","kwa.ran.taˈtrɛ","Numbers"
"forty-four","quarantaquattro","kwa.ran.taˈkwat.tro","Numbers"
"forty-five","quarantacinque","kwa.ran.taˈtʃiŋ.kwe","Numbers"
"forty-six","quarantasei","kwa.ran.taˈsɛi","Numbers"
"forty-seven","quarantasette","kwa.ran.taˈsɛt.te","Numbers"
"forty-eight","quarantotto","kwa.ranˈtɔt.to","Numbers"
"forty-nine","quarantanove","kwa.ran.taˈnɔ.ve","Numbers"
"fifty","cinquanta","tʃiŋˈkwan.ta","Numbers"
"fifty-one","cinquantuno","tʃiŋ.kwanˈtu.no","Numbers"
"fifty-two","cinquantadue","tʃiŋ.kwan.taˈdu.e","Numbers"
"fifty-three","cinquantatré","tʃiŋ.kwan.taˈtrɛ","Numbers"
"fifty-four","cinquantaquattro","tʃiŋ.kwan.taˈkwat.tro","Numbers"
"fifty-five","cinquantacinque","tʃiŋ.kwan.taˈtʃiŋ.kwe","Numbers"
"fifty-six","cinquantasei","tʃiŋ.kwan.taˈsɛi","Numbers"
"fifty-seven","cinquantasette","tʃiŋ.kwan.taˈsɛt.te","Numbers"
"fifty-eight","cinquantotto","tʃiŋ.kwanˈtɔt.to","Numbers"
"fifty-nine","cinquantanove","tʃiŋ.kwan.taˈnɔ.ve","Numbers"
"sixty","sessanta","sesˈsan.ta","Numbers"
"sixty-one","sessantuno","ses.sanˈtu.no","Numbers"
"sixty-two","sessantadue","ses.san.taˈdu.e","Numbers"
"sixty-three","sessantatré","ses.san.taˈtrɛ","Numbers"
"sixty-four","sessantaquattro","ses.san.taˈkwat.tro","Numbers"
"sixty-five","sessantacinque","ses.san.taˈtʃiŋ.kwe","Numbers"
"sixty-six","sessantasei","ses.san.taˈsɛi","Numbers"
"sixty-seven","sessantasette","ses.san.taˈsɛt.te","Numbers"
"sixty-eight","sessantotto","ses.sanˈtɔt.to","Numbers"
"sixty-nine","sessantanove","ses.san.taˈnɔ.ve","Numbers"
"seventy","settanta","setˈtan.ta","Numbers"
"seventy-one","settantuno","set.tanˈtu.no","Numbers"
"seventy-two","settantadue","set.tan.taˈdu.e","Numbers"
"seventy-three","settantatré","set.tan.taˈtrɛ","Numbers"
"seventy-four","settantaquattro","set.tan.taˈkwat.tro","Numbers"
"seventy-five","settantacinque","set.tan.taˈtʃiŋ.kwe","Numbers"
"seventy-six","settantasei","set.tan.taˈsɛi","Numbers"
"seventy-seven","settantasette","set.tan.taˈsɛt.te","Numbers"
"seventy-eight","settantotto","set.tanˈtɔt.to","Numbers"
"seventy-nine","settantanove","set.tan.taˈnɔ.ve","Numbers"
"eighty","ottanta","otˈtan.ta","Numbers"
"eighty-one","ottantuno","ot.tanˈtu.no","Numbers"
"eighty-two","ottantadue","ot.tan.taˈdu.e","Numbers"
"eighty-three","ottantatré","ot.tan.taˈtrɛ","Numbers"
"eighty-four","ottantaquattro","ot.tan.taˈkwat.tro","Numbers"
"eighty-five","ottantacinque","ot.tan.taˈtʃiŋ.kwe","Numbers"
"eighty-six","ottantasei","ot.tan.taˈsɛi","Numbers"
"eighty-seven","ottantasette","ot.tan.taˈsɛt.te","Numbers"
"eighty-eight","ottantotto","ot.tanˈtɔt.to","Numbers"
"eighty-nine","ottantanove","ot.tan.taˈnɔ.ve","Numbers"
"ninety","novanta","noˈvan.ta","Numbers"
"ninety-one","novantuno","no.vanˈtu.no","Numbers"
"ninety-two","novantadue","no.van.taˈdu.e","Numbers"
"ninety-three","novantatré","no.van.taˈtrɛ","Numbers"
"ninety-four","novantaquattro","no.van.taˈkwat.tro","Numbers"
"ninety-five","novantacinque","no.van.taˈtʃiŋ.kwe","Numbers"
"ninety-six","novantasei","no.van.taˈsɛi","Numbers"
"ninety-seven","novantasette","no.van.taˈsɛt.te","Numbers"
"ninety-eight","novantotto","no.vanˈtɔt.to","Numbers"
"ninety-nine","novantanove","no.van.taˈnɔ.ve","Numbers"
"one hundred","cento","ˈtʃɛn.to","Numbers"
