term,votes,chosen,confidence,margin
ma'am,"{""wordnet_lexnames"": [""noun.person""], ""mapped_categories"": [""Health"", ""Professional"", ""Social""], ""vote_detail"": null}",Social,,
ok,"{""wordnet_lexnames"": [""adj.all"", ""adv.all"", ""noun.communication"", ""noun.location""], ""mapped_categories"": [""Abstract"", ""Grammar"", ""Home"", ""Professional"", ""Social"", ""Travel""], ""vote_detail"": null}",Social,,
sunday,"{""wordnet_lexnames"": [""noun.person"", ""noun.time""], ""mapped_categories"": [""Health"", ""Professional"", ""Social"", ""Time & Quantity""], ""vote_detail"": null}",Social,,
t-shirt,"{""wordnet_lexnames"": [""noun.artifact""], ""mapped_categories"": [""Home"", ""Shopping"", ""Travel""], ""vote_detail"": null}",Shopping,,
true,"{""wordnet_lexnames"": [""adj.all"", ""adv.all"", ""noun.attribute"", ""verb.change""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
a,"{""wordnet_lexnames"": [""noun.body"", ""noun.communication"", ""noun.quantity"", ""noun.substance""], ""mapped_categories"": [""Grammar"", ""Health"", ""Social"", ""Time & Quantity""], ""vote_detail"": null}",Social,,
about,"{""wordnet_lexnames"": [""adj.all"", ""adv.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
above,"{""wordnet_lexnames"": [""adj.all"", ""adv.all"", ""noun.communication""], ""mapped_categories"": [""Abstract"", ""Grammar"", ""Social""], ""vote_detail"": null}",Social,,
across,"{""wordnet_lexnames"": [""adv.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
action,"{""wordnet_lexnames"": [""noun.act"", ""noun.artifact"", ""noun.attribute"", ""noun.communication"", ""noun.process"", ""noun.state"", ""verb.creation"", ""verb.social""], ""mapped_categories"": [""Abstract"", ""Activities"", ""Emotions"", ""Food"", ""Grammar"", ""Health"", ""Home"", ""Professional"", ""Shopping"", ""Social"", ""Travel""], ""vote_detail"": null}",Social,,
activity,"{""wordnet_lexnames"": [""noun.act"", ""noun.attribute"", ""noun.process"", ""noun.state""], ""mapped_categories"": [""Abstract"", ""Activities"", ""Emotions"", ""Health""], ""vote_detail"": null}",Health,,
actor,"{""wordnet_lexnames"": [""noun.person""], ""mapped_categories"": [""Health"", ""Professional"", ""Social""], ""vote_detail"": null}",Social,,
actress,"{""wordnet_lexnames"": [""noun.person""], ""mapped_categories"": [""Health"", ""Professional"", ""Social""], ""vote_detail"": null}",Social,,
add,"{""wordnet_lexnames"": [""noun.state"", ""verb.change"", ""verb.cognition"", ""verb.communication"", ""verb.possession"", ""verb.stative""], ""mapped_categories"": [""Emotions"", ""Health""], ""vote_detail"": null}",Health,,
address,"{""wordnet_lexnames"": [""noun.attribute"", ""noun.communication"", ""noun.location"", ""verb.change"", ""verb.communication"", ""verb.competition"", ""verb.consumption"", ""verb.possession"", ""verb.social""], ""mapped_categories"": [""Abstract"", ""Activities"", ""Food"", ""Grammar"", ""Home"", ""Professional"", ""Social"", ""Travel""], ""vote_detail"": null}",Social,,
adult,"{""wordnet_lexnames"": [""adj.all"", ""noun.animal"", ""noun.person""], ""mapped_categories"": [""Abstract"", ""Grammar"", ""Health"", ""Home"", ""Professional"", ""Social""], ""vote_detail"": null}",Social,,
advice,"{""wordnet_lexnames"": [""noun.communication""], ""mapped_categories"": [""Grammar"", ""Social""], ""vote_detail"": null}",Social,,
afraid,"{""wordnet_lexnames"": [""adj.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
after,"{""wordnet_lexnames"": [""adj.all"", ""adv.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
afternoon,"{""wordnet_lexnames"": [""noun.communication"", ""noun.time""], ""mapped_categories"": [""Grammar"", ""Social"", ""Time & Quantity""], ""vote_detail"": null}",Social,,
again,"{""wordnet_lexnames"": [""adv.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
age,"{""wordnet_lexnames"": [""noun.attribute"", ""noun.time"", ""verb.change""], ""mapped_categories"": [""Abstract"", ""Time & Quantity""], ""vote_detail"": null}",Time & Quantity,,
ago,"{""wordnet_lexnames"": [""adj.all"", ""adv.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
air,"{""wordnet_lexnames"": [""noun.act"", ""noun.attribute"", ""noun.communication"", ""noun.location"", ""noun.phenomenon"", ""noun.substance"", ""verb.change"", ""verb.communication"", ""verb.perception""], ""mapped_categories"": [""Abstract"", ""Activities"", ""Grammar"", ""Home"", ""Professional"", ""Social"", ""Travel""], ""vote_detail"": null}",Social,,
airplane,"{""wordnet_lexnames"": [""noun.artifact""], ""mapped_categories"": [""Home"", ""Shopping"", ""Travel""], ""vote_detail"": null}",Shopping,,
airport,"{""wordnet_lexnames"": [""noun.artifact""], ""mapped_categories"": [""Home"", ""Shopping"", ""Travel""], ""vote_detail"": null}",Shopping,,
album,"{""wordnet_lexnames"": [""noun.artifact"", ""noun.communication""], ""mapped_categories"": [""Grammar"", ""Home"", ""Shopping"", ""Social"", ""Travel""], ""vote_detail"": null}",Social,,
all,"{""wordnet_lexnames"": [""adj.all"", ""adv.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
all,"{""wordnet_lexnames"": [""adj.all"", ""adv.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
almost,"{""wordnet_lexnames"": [""adv.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
alone,"{""wordnet_lexnames"": [""adj.all"", ""adv.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
along,"{""wordnet_lexnames"": [""adv.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
already,"{""wordnet_lexnames"": [""adv.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
also,"{""wordnet_lexnames"": [""adv.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
always,"{""wordnet_lexnames"": [""adv.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
am,"{""wordnet_lexnames"": [""noun.communication"", ""noun.substance"", ""verb.possession"", ""verb.social"", ""verb.stative""], ""mapped_categories"": [""Activities"", ""Grammar"", ""Professional"", ""Social""], ""vote_detail"": null}",Social,,
amazing,"{""wordnet_lexnames"": [""adj.all"", ""verb.cognition""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
an,"{""wordnet_lexnames"": [""noun.communication""], ""mapped_categories"": [""Grammar"", ""Social""], ""vote_detail"": null}",Social,,
angry,"{""wordnet_lexnames"": [""adj.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
animal,"{""wordnet_lexnames"": [""adj.all"", ""noun.tops""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
another,"{""wordnet_lexnames"": [""adj.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
answer,"{""wordnet_lexnames"": [""noun.act"", ""noun.communication"", ""verb.cognition"", ""verb.communication"", ""verb.consumption"", ""verb.stative""], ""mapped_categories"": [""Activities"", ""Food"", ""Grammar"", ""Social""], ""vote_detail"": null}",Social,,
any,"{""wordnet_lexnames"": [""adj.all"", ""adv.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
apartment,"{""wordnet_lexnames"": [""noun.artifact""], ""mapped_categories"": [""Home"", ""Shopping"", ""Travel""], ""vote_detail"": null}",Shopping,,
apron,"{""wordnet_lexnames"": [""noun.artifact"", ""noun.location""], ""mapped_categories"": [""Home"", ""Professional"", ""Shopping"", ""Travel""], ""vote_detail"": null}",Shopping,,
are,"{""wordnet_lexnames"": [""noun.quantity"", ""verb.possession"", ""verb.social"", ""verb.stative""], ""mapped_categories"": [""Activities"", ""Professional"", ""Time & Quantity""], ""vote_detail"": null}",Time & Quantity,,
area,"{""wordnet_lexnames"": [""noun.artifact"", ""noun.attribute"", ""noun.body"", ""noun.cognition"", ""noun.location"", ""noun.state""], ""mapped_categories"": [""Abstract"", ""Emotions"", ""Grammar"", ""Health"", ""Home"", ""Professional"", ""Shopping"", ""Travel""], ""vote_detail"": null}",Grammar,,
arm,"{""wordnet_lexnames"": [""noun.artifact"", ""noun.body"", ""noun.group"", ""verb.competition"", ""verb.possession""], ""mapped_categories"": [""Health"", ""Home"", ""Professional"", ""Shopping"", ""Travel""], ""vote_detail"": null}",Shopping,,
around,"{""wordnet_lexnames"": [""adv.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
arrive,"{""wordnet_lexnames"": [""verb.motion"", ""verb.social""], ""mapped_categories"": [""Activities"", ""Professional"", ""Travel""], ""vote_detail"": null}",Professional,,
art,"{""wordnet_lexnames"": [""noun.act"", ""noun.artifact"", ""noun.cognition"", ""noun.communication""], ""mapped_categories"": [""Abstract"", ""Activities"", ""Grammar"", ""Home"", ""Shopping"", ""Social"", ""Travel""], ""vote_detail"": null}",Social,,
article,"{""wordnet_lexnames"": [""noun.communication"", ""noun.tops"", ""verb.communication""], ""mapped_categories"": [""Grammar"", ""Social""], ""vote_detail"": null}",Social,,
artist,"{""wordnet_lexnames"": [""noun.person""], ""mapped_categories"": [""Health"", ""Professional"", ""Social""], ""vote_detail"": null}",Social,,
as,"{""wordnet_lexnames"": [""adv.all"", ""noun.body"", ""noun.communication"", ""noun.quantity"", ""noun.substance""], ""mapped_categories"": [""Abstract"", ""Grammar"", ""Health"", ""Social"", ""Time & Quantity""], ""vote_detail"": null}",Social,,
aunt,"{""wordnet_lexnames"": [""noun.person""], ""mapped_categories"": [""Health"", ""Professional"", ""Social""], ""vote_detail"": null}",Social,,
awake,"{""wordnet_lexnames"": [""adj.all"", ""verb.body""], ""mapped_categories"": [""Abstract"", ""Grammar"", ""Health""], ""vote_detail"": null}",Grammar,,
away,"{""wordnet_lexnames"": [""adj.all"", ""adv.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
baby,"{""wordnet_lexnames"": [""noun.act"", ""noun.animal"", ""noun.person"", ""verb.social""], ""mapped_categories"": [""Activities"", ""Health"", ""Home"", ""Professional"", ""Social""], ""vote_detail"": null}",Social,,
back,"{""wordnet_lexnames"": [""adj.all"", ""adv.all"", ""noun.act"", ""noun.artifact"", ""noun.body"", ""noun.location"", ""noun.person"", ""verb.change"", ""verb.competition"", ""verb.motion"", ""verb.possession"", ""verb.social"", ""verb.stative""], ""mapped_categories"": [""Abstract"", ""Activities"", ""Grammar"", ""Health"", ""Home"", ""Professional"", ""Shopping"", ""Social"", ""Travel""], ""vote_detail"": null}",Social,,
bad,"{""wordnet_lexnames"": [""adj.all"", ""adv.all"", ""noun.attribute""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
bag,"{""wordnet_lexnames"": [""noun.act"", ""noun.animal"", ""noun.artifact"", ""noun.person"", ""noun.quantity"", ""verb.contact"", ""verb.possession"", ""verb.stative""], ""mapped_categories"": [""Activities"", ""Health"", ""Home"", ""Professional"", ""Shopping"", ""Social"", ""Time & Quantity"", ""Travel""], ""vote_detail"": null}",Social,,
ball,"{""wordnet_lexnames"": [""noun.act"", ""noun.artifact"", ""noun.body"", ""noun.event"", ""noun.group"", ""noun.person"", ""noun.shape"", ""verb.contact""], ""mapped_categories"": [""Activities"", ""Health"", ""Home"", ""Professional"", ""Shopping"", ""Social"", ""Travel""], ""vote_detail"": null}",Social,,
band,"{""wordnet_lexnames"": [""noun.artifact"", ""noun.attribute"", ""noun.body"", ""noun.communication"", ""noun.group"", ""verb.contact""], ""mapped_categories"": [""Abstract"", ""Activities"", ""Grammar"", ""Health"", ""Home"", ""Professional"", ""Shopping"", ""Social"", ""Travel""], ""vote_detail"": null}",Social,,
bank,"{""wordnet_lexnames"": [""noun.act"", ""noun.artifact"", ""noun.group"", ""noun.object"", ""noun.possession"", ""verb.cognition"", ""verb.contact"", ""verb.motion"", ""verb.possession""], ""mapped_categories"": [""Activities"", ""Home"", ""Professional"", ""Shopping"", ""Travel""], ""vote_detail"": null}",Shopping,,
bank,"{""wordnet_lexnames"": [""noun.act"", ""noun.artifact"", ""noun.group"", ""noun.object"", ""noun.possession"", ""verb.cognition"", ""verb.contact"", ""verb.motion"", ""verb.possession""], ""mapped_categories"": [""Activities"", ""Home"", ""Professional"", ""Shopping"", ""Travel""], ""vote_detail"": null}",Shopping,,
bar,"{""wordnet_lexnames"": [""noun.act"", ""noun.artifact"", ""noun.attribute"", ""noun.communication"", ""noun.group"", ""noun.object"", ""noun.quantity"", ""verb.communication"", ""verb.contact"", ""verb.social""], ""mapped_categories"": [""Abstract"", ""Activities"", ""Grammar"", ""Home"", ""Professional"", ""Shopping"", ""Social"", ""Time & Quantity"", ""Travel""], ""vote_detail"": null}",Social,,
baseball,"{""wordnet_lexnames"": [""noun.act"", ""noun.artifact""], ""mapped_categories"": [""Activities"", ""Home"", ""Shopping"", ""Travel""], ""vote_detail"": null}",Shopping,,
basketball,"{""wordnet_lexnames"": [""noun.act"", ""noun.artifact""], ""mapped_categories"": [""Activities"", ""Home"", ""Shopping"", ""Travel""], ""vote_detail"": null}",Shopping,,
bat,"{""wordnet_lexnames"": [""noun.act"", ""noun.animal"", ""noun.artifact"", ""verb.body"", ""verb.contact""], ""mapped_categories"": [""Activities"", ""Health"", ""Home"", ""Shopping"", ""Travel""], ""vote_detail"": null}",Shopping,,
bath,"{""wordnet_lexnames"": [""noun.act"", ""noun.artifact"", ""noun.location"", ""noun.quantity"", ""verb.body""], ""mapped_categories"": [""Activities"", ""Health"", ""Home"", ""Professional"", ""Shopping"", ""Time & Quantity"", ""Travel""], ""vote_detail"": null}",Time & Quantity,,
bathroom,"{""wordnet_lexnames"": [""noun.artifact""], ""mapped_categories"": [""Home"", ""Shopping"", ""Travel""], ""vote_detail"": null}",Shopping,,
be,"{""wordnet_lexnames"": [""noun.substance"", ""verb.possession"", ""verb.social"", ""verb.stative""], ""mapped_categories"": [""Activities"", ""Professional""], ""vote_detail"": null}",Professional,,
beach,"{""wordnet_lexnames"": [""noun.object"", ""verb.motion""], ""mapped_categories"": [""Activities"", ""Home"", ""Travel""], ""vote_detail"": null}",Travel,,
bean,"{""wordnet_lexnames"": [""noun.body"", ""noun.food"", ""noun.plant"", ""verb.contact""], ""mapped_categories"": [""Activities"", ""Food"", ""Health""], ""vote_detail"": null}",Food,,
bear,"{""wordnet_lexnames"": [""noun.animal"", ""noun.person"", ""verb.body"", ""verb.cognition"", ""verb.contact"", ""verb.creation"", ""verb.possession"", ""verb.social"", ""verb.stative""], ""mapped_categories"": [""Activities"", ""Food"", ""Health"", ""Home"", ""Professional"", ""Social""], ""vote_detail"": null}",Social,,
beautiful,"{""wordnet_lexnames"": [""adj.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
bed,"{""wordnet_lexnames"": [""noun.artifact"", ""noun.location"", ""noun.object"", ""verb.body"", ""verb.contact"", ""verb.possession""], ""mapped_categories"": [""Activities"", ""Health"", ""Home"", ""Professional"", ""Shopping"", ""Travel""], ""vote_detail"": null}",Shopping,,
bedroom,"{""wordnet_lexnames"": [""noun.artifact""], ""mapped_categories"": [""Home"", ""Shopping"", ""Travel""], ""vote_detail"": null}",Shopping,,
bee,"{""wordnet_lexnames"": [""noun.animal"", ""noun.group""], ""mapped_categories"": [""Home"", ""Professional""], ""vote_detail"": null}",Professional,,
beef,"{""wordnet_lexnames"": [""noun.animal"", ""noun.communication"", ""noun.food"", ""verb.communication""], ""mapped_categories"": [""Food"", ""Grammar"", ""Home"", ""Social""], ""vote_detail"": null}",Social,,
before,"{""wordnet_lexnames"": [""adv.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
begin,"{""wordnet_lexnames"": [""noun.person"", ""verb.change"", ""verb.communication"", ""verb.social"", ""verb.stative""], ""mapped_categories"": [""Activities"", ""Health"", ""Professional"", ""Social""], ""vote_detail"": null}",Social,,
beginning,"{""wordnet_lexnames"": [""adj.all"", ""noun.act"", ""noun.cognition"", ""noun.event"", ""noun.location"", ""noun.time"", ""verb.change"", ""verb.communication"", ""verb.social"", ""verb.stative""], ""mapped_categories"": [""Abstract"", ""Activities"", ""Grammar"", ""Home"", ""Professional"", ""Time & Quantity"", ""Travel""], ""vote_detail"": null}",Time & Quantity,,
behind,"{""wordnet_lexnames"": [""adj.all"", ""adv.all"", ""noun.body""], ""mapped_categories"": [""Abstract"", ""Grammar"", ""Health""], ""vote_detail"": null}",Grammar,,
bell,"{""wordnet_lexnames"": [""noun.artifact"", ""noun.event"", ""noun.person"", ""noun.shape"", ""noun.time"", ""verb.contact""], ""mapped_categories"": [""Activities"", ""Health"", ""Home"", ""Professional"", ""Shopping"", ""Social"", ""Time & Quantity"", ""Travel""], ""vote_detail"": null}",Social,,
below,"{""wordnet_lexnames"": [""adv.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
best,"{""wordnet_lexnames"": [""adj.all"", ""adv.all"", ""noun.act"", ""noun.person"", ""verb.competition""], ""mapped_categories"": [""Abstract"", ""Activities"", ""Grammar"", ""Health"", ""Professional"", ""Social""], ""vote_detail"": null}",Social,,
better,"{""wordnet_lexnames"": [""adj.all"", ""adv.all"", ""noun.attribute"", ""noun.person"", ""verb.change"", ""verb.competition""], ""mapped_categories"": [""Abstract"", ""Grammar"", ""Health"", ""Professional"", ""Social""], ""vote_detail"": null}",Social,,
between,"{""wordnet_lexnames"": [""adv.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
bicycle,"{""wordnet_lexnames"": [""noun.artifact"", ""verb.motion""], ""mapped_categories"": [""Activities"", ""Home"", ""Shopping"", ""Travel""], ""vote_detail"": null}",Shopping,,
big,"{""wordnet_lexnames"": [""adj.all"", ""adv.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
bike,"{""wordnet_lexnames"": [""noun.artifact"", ""verb.motion""], ""mapped_categories"": [""Activities"", ""Home"", ""Shopping"", ""Travel""], ""vote_detail"": null}",Shopping,,
bill,"{""wordnet_lexnames"": [""noun.act"", ""noun.animal"", ""noun.artifact"", ""noun.communication"", ""noun.possession"", ""verb.communication"", ""verb.possession""], ""mapped_categories"": [""Activities"", ""Grammar"", ""Home"", ""Shopping"", ""Social"", ""Travel""], ""vote_detail"": null}",Social,,
bird,"{""wordnet_lexnames"": [""noun.animal"", ""noun.artifact"", ""noun.communication"", ""noun.food"", ""noun.person"", ""verb.competition""], ""mapped_categories"": [""Food"", ""Grammar"", ""Health"", ""Home"", ""Professional"", ""Shopping"", ""Social"", ""Travel""], ""vote_detail"": null}",Social,,
birth,"{""wordnet_lexnames"": [""noun.event"", ""noun.person"", ""noun.process"", ""noun.relation"", ""noun.time"", ""verb.body""], ""mapped_categories"": [""Abstract"", ""Activities"", ""Health"", ""Professional"", ""Social"", ""Time & Quantity""], ""vote_detail"": null}",Social,,
black,"{""wordnet_lexnames"": [""adj.all"", ""noun.artifact"", ""noun.attribute"", ""noun.person"", ""noun.state"", ""verb.change""], ""mapped_categories"": [""Abstract"", ""Emotions"", ""Grammar"", ""Health"", ""Home"", ""Professional"", ""Shopping"", ""Social"", ""Travel""], ""vote_detail"": null}",Social,,
blank,"{""wordnet_lexnames"": [""adj.all"", ""noun.artifact"", ""noun.communication"", ""verb.social""], ""mapped_categories"": [""Abstract"", ""Activities"", ""Grammar"", ""Home"", ""Professional"", ""Shopping"", ""Social"", ""Travel""], ""vote_detail"": null}",Social,,
block,"{""wordnet_lexnames"": [""noun.act"", ""noun.artifact"", ""noun.cognition"", ""noun.group"", ""noun.location"", ""noun.quantity"", ""noun.shape"", ""verb.change"", ""verb.cognition"", ""verb.communication"", ""verb.competition"", ""verb.contact"", ""verb.perception"", ""verb.social""], ""mapped_categories"": [""Abstract"", ""Activities"", ""Grammar"", ""Home"", ""Professional"", ""Shopping"", ""Time & Quantity"", ""Travel""], ""vote_detail"": null}",Time & Quantity,,
blog,"{""wordnet_lexnames"": [""noun.communication"", ""verb.communication""], ""mapped_categories"": [""Grammar"", ""Social""], ""vote_detail"": null}",Social,,
blonde,"{""wordnet_lexnames"": [""adj.all"", ""noun.attribute"", ""noun.person""], ""mapped_categories"": [""Abstract"", ""Grammar"", ""Health"", ""Professional"", ""Social""], ""vote_detail"": null}",Social,,
blow,"{""wordnet_lexnames"": [""noun.act"", ""noun.artifact"", ""noun.event"", ""noun.phenomenon"", ""verb.body"", ""verb.change"", ""verb.communication"", ""verb.contact"", ""verb.motion"", ""verb.perception"", ""verb.possession"", ""verb.social"", ""verb.weather""], ""mapped_categories"": [""Abstract"", ""Activities"", ""Health"", ""Home"", ""Professional"", ""Shopping"", ""Travel""], ""vote_detail"": null}",Shopping,,
blue,"{""wordnet_lexnames"": [""adj.all"", ""noun.animal"", ""noun.artifact"", ""noun.attribute"", ""noun.group"", ""noun.object"", ""noun.substance"", ""verb.change""], ""mapped_categories"": [""Abstract"", ""Grammar"", ""Home"", ""Professional"", ""Shopping"", ""Travel""], ""vote_detail"": null}",Grammar,,
board,"{""wordnet_lexnames"": [""noun.artifact"", ""noun.food"", ""noun.group"", ""noun.substance"", ""verb.consumption"", ""verb.motion"", ""verb.stative""], ""mapped_categories"": [""Activities"", ""Food"", ""Home"", ""Professional"", ""Shopping"", ""Travel""], ""vote_detail"": null}",Food,,
boat,"{""wordnet_lexnames"": [""noun.artifact"", ""verb.motion""], ""mapped_categories"": [""Activities"", ""Home"", ""Shopping"", ""Travel""], ""vote_detail"": null}",Shopping,,
body,"{""wordnet_lexnames"": [""noun.artifact"", ""noun.attribute"", ""noun.body"", ""noun.communication"", ""noun.group"", ""noun.object"", ""verb.stative""], ""mapped_categories"": [""Abstract"", ""Grammar"", ""Health"", ""Home"", ""Professional"", ""Shopping"", ""Social"", ""Travel""], ""vote_detail"": null}",Social,,
bone,"{""wordnet_lexnames"": [""adj.all"", ""noun.attribute"", ""noun.body"", ""noun.substance"", ""verb.change"", ""verb.cognition""], ""mapped_categories"": [""Abstract"", ""Grammar"", ""Health""], ""vote_detail"": null}",Grammar,,
book,"{""wordnet_lexnames"": [""noun.artifact"", ""noun.communication"", ""noun.group"", ""noun.possession"", ""verb.cognition"", ""verb.social""], ""mapped_categories"": [""Activities"", ""Grammar"", ""Home"", ""Professional"", ""Shopping"", ""Social"", ""Travel""], ""vote_detail"": null}",Social,,
bookstore,"{""wordnet_lexnames"": [""noun.artifact""], ""mapped_categories"": [""Home"", ""Shopping"", ""Travel""], ""vote_detail"": null}",Shopping,,
boot,"{""wordnet_lexnames"": [""noun.act"", ""noun.artifact"", ""noun.feeling"", ""verb.body"", ""verb.contact""], ""mapped_categories"": [""Activities"", ""Emotions"", ""Health"", ""Home"", ""Shopping"", ""Travel""], ""vote_detail"": null}",Shopping,,
bored,"{""wordnet_lexnames"": [""adj.all"", ""verb.body"", ""verb.cognition"", ""verb.contact"", ""verb.creation"", ""verb.emotion"", ""verb.possession"", ""verb.social"", ""verb.stative""], ""mapped_categories"": [""Abstract"", ""Activities"", ""Emotions"", ""Food"", ""Grammar"", ""Health"", ""Professional""], ""vote_detail"": null}",Food,,
boring,"{""wordnet_lexnames"": [""adj.all"", ""noun.act"", ""verb.body"", ""verb.cognition"", ""verb.contact"", ""verb.creation"", ""verb.emotion"", ""verb.possession"", ""verb.social"", ""verb.stative""], ""mapped_categories"": [""Abstract"", ""Activities"", ""Emotions"", ""Food"", ""Grammar"", ""Health"", ""Professional""], ""vote_detail"": null}",Food,,
born,"{""wordnet_lexnames"": [""adj.all"", ""noun.person"", ""verb.body"", ""verb.cognition"", ""verb.contact"", ""verb.creation"", ""verb.possession"", ""verb.social"", ""verb.stative""], ""mapped_categories"": [""Abstract"", ""Activities"", ""Food"", ""Grammar"", ""Health"", ""Professional"", ""Social""], ""vote_detail"": null}",Social,,
both,"{""wordnet_lexnames"": [""adj.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
bottle,"{""wordnet_lexnames"": [""noun.artifact"", ""noun.quantity"", ""verb.contact"", ""verb.possession""], ""mapped_categories"": [""Activities"", ""Home"", ""Shopping"", ""Time & Quantity"", ""Travel""], ""vote_detail"": null}",Time & Quantity,,
