English_Translation,Italian_Term,Italian_IPA,English_Sentence,Italian_Sentence,Italian_Sentence_IPA,CEFR_Level,Taxonomy,Tags,Notes
Immaculate Conception,Immacolata Concezione,immakoˈlaːta kontʃetˈtsjo.ne,,December 8th,Religious feast celebrating Mary's conception without sin.,,,,
Assumption of Mary,Ferragosto,ferraˈɡos.to,,"August 15th, or the Sunday nearest August 15th",Religious and public holiday celebrating Mary's assumption and Italian summer traditions.,,,,
Epiphany,Epifania,epiˈfaːnja,,January 6,Christian feast marking the visit of the Magi to Jesus.,,,,
Easter,Pasqua,ˈpa.skʷa,,Does not fall on a fixed date,Christian holiday celebrating Jesus' resurrection.,,,,
Easter Monday,Lunedì dell'Angelo,lu.neˈdi dellˈan.dʒelo,,Day after Easter Sunday,Day commemorating the angel's announcement of resurrection.,,,,
Christmas,Natale,naˈtaːle,,December 25th,Christian holiday celebrating the birth of Jesus.,,,,
New Year's Day,Capodanno,kapoˈdan.no,,January 1st,First day of the Gregorian calendar year.,,,,
International Pi Day,Giornata Internazionale del Pi Greco,dʒorˈnaːta internattsjoˈnaːle del pi ˈɡrɛko,,March 14th,Celebrates the mathematical constant Pi.,,,,
World Space Week Start,Inizio della Settimana Mondiale dello Spazio,iˈnitsjo della settiˈmaːna monˈdjaːle ˈdelːo ˈspattsjo,,October 4th,Marks the beginning of global space awareness week.,,,,
World Space Week End,Fine della Settimana Mondiale dello Spazio,ˈfiːne della settiˈmaːna monˈdjaːle ˈdelːo ˈspattsjo,,October 10th,Marks the end of global space awareness week.,,,,
First Moon Landing,Primo Allunaggio,ˈpriːmo alluˈnaddʒo,,July 20th 1969,Commemorates Apollo 11's first human moon landing.,,,,
First Human in Space,Primo Uomo nello Spazio,ˈpriːmo ˈwɔmo ˈnelːo ˈspattsjo,,April 12th 1961,Marks Yuri Gagarin's historic spaceflight.,,,,
First Satellite in Space,Primo Satellite nello Spazio,ˈpriːmo sateˈliːte ˈnelːo ˈspattsjo,,October 4th 1957,"Celebrates launch of Sputnik, first artificial satellite.",,,,
Alan Turing's Birthday,Compleanno di Alan Turing,komplɛˈanːo di ˈaːlan ˈtuːɾinɡ,,June 23rd 1912,Honors the father of computer science.,,,,
Ada Lovelace Day,Giornata di Ada Lovelace,dʒorˈnaːta di ˈaːda ˈlʌvleɪs,,Second Tuesday of October,Celebrates the first computer programmer.,,,,
World Philosophy Day,Giornata mondiale della filosofia,dʒorˈnaːta monˈdjaːle ˈdelːa filoˈzɔːfja,,Third Thursday of November,Promotes philosophical reflection worldwide.,,,,
World Logic Day,Giornata Mondiale della Logica,dʒorˈnaːta monˈdjaːle ˈdelːa ˈlɔdʒika,,January 14th,Celebrates the importance of logic in reasoning.,,,,
Tau Day,Giornata del Tau,dʒorˈnaːta del tau,,June 28th,Celebrates the mathematical constant Tau (2π).,,,,
Square Root Day,Giornata della Radice Quadrata,dʒorˈnaːta ˈdelːa raˈditʃe kwaˈdraːta,,When day and month are square roots of year,Commemorates dates where day and month are square roots of the year.,,,,
Eclipse Day,Giornata dell'Eclissi,dʒorˈnaːta delˈleˈklissi,,Date of solar or lunar eclipse,Marks the occurrence of a solar or lunar eclipse.,,,,
Hubble Launch Anniversary,Anniversario del Lancio di Hubble,anniʋerˈsaːrjo del ˈlantʃo di ˈabbl,,April 24th 1990,Celebrates the launch of the Hubble Space Telescope.,,,,
Voyager Launch Anniversary,Anniversario del Lancio di Voyager,anniʋerˈsaːrjo del ˈlantʃo di ˈvɔjadʒer,,August 20th 1977 & September 5th 1977,Marks the launch of the Voyager space probes.,,,,
First Image of a Black Hole,Prima Immagine di un Buco Nero,ˈpriːma imˈmaːdʒine di un ˈbuko ˈneːro,,April 10th 2019,Commemorates first-ever photo of a black hole.,,,,
Stephen Hawking's Birthday,Compleanno di Stephen Hawking,komplɛˈanːo di ˈstiːvən ˈhɔːkɪŋ,,January 8th 1942,Honors the renowned theoretical physicist.,,,,
Galileo Galilei's Birthday,Compleanno di Galileo Galilei,komplɛˈanːo di ɡaliˈlɛːo ɡaliˈlɛi,,February 15th 1564,Celebrates the famous astronomer and physicist.,,,,
Einstein's Birthday,Compleanno di Einstein,komplɛˈanːo di ˈaɪnʃtaɪn,,March 14th 1879,Honors the influential physicist Albert Einstein.,,,,
Newton's Birthday,Compleanno di Newton,komplɛˈanːo di ˈnjuːton,,January 4th 1643,Celebrates the physicist Isaac Newton.,,,,
