"English","Italian","IPA","Tags"
"Cranberry Sauce","Salsa di mirtilli rossi","ˈsal.sa di mirˈtil.li ˈros.si","sauce"
"Tzatziki","Tzatziki","tsatˈtsiːki","sauce"
"Tahini Sauce","Salsa tahina","ˈsal.sa taˈi.na","sauce"
"Romesco Sauce","Salsa romesco","ˈsal.sa roˈmes.ko","sauce"
"Curry Sauce","Salsa al curry","ˈsal.sa al ˈkur.ri","sauce"
"Peppercorn Sauce","Salsa al pepe verde","ˈsal.sa al ˈpe.pe ˈver.de","sauce"
"Gremolata","Gremolata","ɡremoˈlaːta","sauce"
"Mole Sauce","Salsa mole","ˈsal.sa ˈmo.le","sauce"
"Ponzu Sauce","Salsa ponzu","ˈsal.sa ˈpon.dzu","sauce"
"Chili Sauce","Salsa chili","ˈsal.sa ˈtʃi.li","sauce"
"Garlic Sauce","Salsa all'aglio","ˈsal.sa alˈlaʎ.ʎo","sauce"
"Mornay Sauce","Salsa Mornay","ˈsal.sa mɔrˈnɛ","sauce"
"Blue Cheese Dressing","Salsa al formaggio blu","ˈsal.sa al forˈmad.dʒo blu","sauce"
"French Dressing","Salsa francese","ˈsal.sa franˈtʃeːze","sauce"
"Salsa Rosa","Salsa rosa","ˈsal.sa ˈrɔːza","sauce"
"Cocktail Sauce","Salsa cocktail","ˈsal.sa kɔkˈtɛl","sauce"
"Satay Sauce","Salsa satay","ˈsal.sa saˈtai","sauce"
"Plum Sauce","Salsa di prugne","ˈsal.sa di ˈpruɲ.ɲe","sauce"
"Yogurt Sauce","Salsa allo yogurt","ˈsal.sa alˈlo ˈjo.ɡurt","sauce"
"Harissa","Harissa","aˈris.sa","sauce"
"Sriracha","Sriracha","sriˈra.tʃa","sauce"
"Fish Sauce","Salsa di pesce","ˈsal.sa di ˈpeʃ.ʃe","sauce"
"Chutney","Chutney","ˈtʃat.nej","sauce"
"Pico de Gallo","Pico de gallo","ˈpi.ko de ˈɡal.lo","sauce"
"Salsa di Noci","Salsa di noci","ˈsal.sa di ˈno.tʃi","sauce"
"Salsa di Funghi","Salsa di funghi","ˈsal.sa di ˈfuŋ.ɡi","sauce"
"Salsa di Cipolle","Salsa di cipolle","ˈsal.sa di tʃiˈpol.le","sauce"
"Salsa di Pepe Nero","Salsa di pepe nero","ˈsal.sa di ˈpe.pe ˈne.ro","sauce"
"Salsa di Acciughe","Salsa di acciughe","ˈsal.sa di atˈtʃu.ɡe","sauce"
"Salsa di Gorgonzola","Salsa di gorgonzola","ˈsal.sa di ɡor.ɡonˈdzo.la","sauce"
"Salsa al Limone","Salsa al limone","ˈsal.sa al liˈmo.ne","sauce"
"Salsa al Vino Rosso","Salsa al vino rosso","ˈsal.sa al ˈvi.no ˈros.so","sauce"
"Salsa al Burro e Salvia","Salsa al burro e salvia","ˈsal.sa al ˈbur.ro e ˈsal.vja","sauce"
"Salsa di Soffritto","Salsa di soffritto","ˈsal.sa di sofˈfrit.to","sauce"
"Salsa di Carciofi","Salsa di carciofi","ˈsal.sa di karˈtʃɔ.fi","sauce"
"Salsa di Melanzane","Salsa di melanzane","ˈsal.sa di me.lanˈtsa.ne","sauce"
"Salsa di Peperoni","Salsa di peperoni","ˈsal.sa di pepeˈroːni","sauce"
"Salsa di Pomodorini","Salsa di pomodorini","ˈsal.sa di pomo.doˈriːni","sauce"
"Salsa di Tartufo","Salsa di tartufo","ˈsal.sa di tarˈtu.fo","sauce"
"Salsa di Basilico","Salsa di basilico","ˈsal.sa di baˈzi.li.ko","sauce"
"Salsa di Prezzemolo","Salsa di prezzemolo","ˈsal.sa di pretˈtse.mo.lo","sauce"
"Salsa di Rucola","Salsa di rucola","ˈsal.sa di ˈru.ko.la","sauce"
"Salsa di Spinaci","Salsa di spinaci","ˈsal.sa di spiˈna.tʃi","sauce"
"Salsa di Zucca","Salsa di zucca","ˈsal.sa di ˈtsuk.ka","sauce"
"Salsa di Porcini","Salsa di porcini","ˈsal.sa di porˈtʃi.ni","sauce"
"Salsa di Broccoli","Salsa di broccoli","ˈsal.sa di ˈbrɔk.koli","sauce"
"Salsa di Cavolfiore","Salsa di cavolfiore","ˈsal.sa di ka.volˈfjɔːre","sauce"
"Salsa di Carote","Salsa di carote","ˈsal.sa di kaˈroːte","sauce"
"Salsa di Zucchine","Salsa di zucchine","ˈsal.sa di tsukˈkiːne","sauce"
"Salsa di Fagioli","Salsa di fagioli","ˈsal.sa di faˈdʒɔːli","sauce"
"Salsa di Ceci","Salsa di ceci","ˈsal.sa di ˈtʃe.tʃi","sauce"
"Salsa di Lenticchie","Salsa di lenticchie","ˈsal.sa di lenˈtik.kje","sauce"
"Salsa di Piselli","Salsa di piselli","ˈsal.sa di piˈzɛl.li","sauce"
"Salsa di Patate","Salsa di patate","ˈsal.sa di paˈtaːte","sauce"
"Salsa di Avocado","Salsa di avocado","ˈsal.sa di avoˈkaːdo","sauce"
"Salsa di Mango","Salsa di mango","ˈsal.sa di ˈman.ɡo","sauce"
"Salsa di Fragole","Salsa di fragole","ˈsal.sa di ˈfraːɡo.le","sauce"
"Salsa di Limone e Miele","Salsa di limone e miele","ˈsal.sa di liˈmo.ne e ˈmjɛ.le","sauce"
"Salsa di Yogurt e Cetriolo","Salsa di yogurt e cetriolo","ˈsal.sa di ˈjo.ɡurt e tʃe.triˈoːlo","sauce"
