"English","Italian","IPA","Tags"
"Star anise","Anice stellato","ˈaniʧe stelˈlaːto","spice"
"Szechuan peppercorn","Pepe di Sichuan","ˈpepe di siˈʃwan","spice"
"Juniper berry","Bacca di ginepro","ˈbakka di dʒiˈnepro","spice"
"Mahlab","Mahleb","maˈlɛb","spice"
"Grains of paradise","Grani del paradiso","ˈɡrani del paraˈdizo","spice"
"Kaffir lime leaves","Foglie di combava","ˈfoʎʎe di komˈbava","spice"
"Lemongrass","Citronella","tʃitroˈnɛlla","spice"
"Lovage seed","Semi di levistico","ˈsɛːmi di leˈvistiko","spice"
"Poppy seed","Semi di papavero","ˈsɛːmi di paˈpavero","spice"
"Sesame seed","Semi di sesamo","ˈsɛːmi di ˈsɛzamo","spice"
"Fennel seed","Semi di finocchio","ˈsɛːmi di fiˈnɔkkjo","spice"
"Pumpkin seed","Semi di zucca","ˈsɛːmi di ˈdzukka","spice"
"Sunflower seed","Semi di girasole","ˈsɛːmi di dʒiraˈzole","spice"
"Flaxseed","Semi di lino","ˈsɛːmi di ˈlino","spice"
"Chia seed","Semi di chia","ˈsɛːmi di ˈkia","spice"
"Hemp seed","Semi di canapa","ˈsɛːmi di ˈkanapa","spice"
"Pomegranate seed","Semi di melagrana","ˈsɛːmi di melaˈɡrana","spice"
"Tamarind","Tamarindo","tamaˈrindo","spice"
"Amchur","Polvere di mango","ˈpolvere di ˈmaŋɡo","spice"
"Szechuan pepper leaf","Foglia di pepe di Sichuan","ˈfoʎʎa di ˈpepe di siˈʃwan","spice"
"Mugwort","Artemisia","arteˈmiːzja","spice"
"Pennyroyal","Menta poleggio","ˈmɛnta poˈleddʒo","spice"
"Watercress","Crescione","kreʃˈʃone","spice"
"Sorrel","Acetosa","atʃeˈtoːza","spice"
"Chervil","Cerfoglio","tʃerˈfɔʎʎo","spice"
"Borage","Borragine","borˈraːdʒine","spice"
"Burnet","Pimpinella","pimpiˈnɛlla","spice"
"Hyssop","Issopo","isˈsɔpo","spice"
"Rue","Ruta","ˈruta","spice"
"Szechuan lovage","Levistico di Sichuan","leˈvistiko di siˈʃwan","spice"
"Perilla","Perilla","peˈrilla","spice"
"Epazote","Epazote","epaˈtsote","spice"
"Mexican oregano","Origano messicano","oˈriɡano mesˈsiːkano","spice"
"Holy basil","Basilico sacro","baˈziːliko ˈsaːkro","spice"
"Lemon balm","Melissa","meˈlissa","spice"
"Lemon verbena","Erba cedrina","ˈɛrba tʃeˈdrina","spice"
"Vietnamese coriander","Coriandolo vietnamita","koˈrjandolo vjetnaˈmita","spice"
"Cress","Crescione","kreʃˈʃone","spice"
"Garden cress","Crescione d'orto","kreʃˈʃone ˈdɔrto","spice"
"Peppermint","Menta piperita","ˈmɛnta pipeˈrita","spice"
"Spearmint","Menta verde","ˈmɛnta ˈverde","spice"
"Wild garlic","Aglio orsino","ˈaʎʎo orˈsiːno","spice"
