"Time","English","Italian","IPA","Tags"
"00:55","twelve fifty-five","le dodici e cinquantacinque","[le ˈdoditʃi e tʃiŋkwantaˈtʃiŋkwe]","Telling_Time"
"00:56","twelve fifty-six","le dodici e cinquantasei","[le ˈdoditʃi e tʃiŋkwantaˈsɛi]","Telling_Time"
"00:57","twelve fifty-seven","le dodici e cinquantasette","[le ˈdoditʃi e tʃiŋkwantaˈsɛtte]","Telling_Time"
"00:58","twelve fifty-eight","le dodici e cinquantotto","[le ˈdoditʃi e tʃiŋkwantˈɔtto]","Telling_Time"
"00:59","twelve fifty-nine","le dodici e cinquantanove","[le ˈdoditʃi e tʃiŋkwantaˈnɔve]","Telling_Time"
"01:00","one o'clock","le uno","[le ˈuno]","Telling_Time"
"01:01","one oh one","le uno e uno","[le ˈuno e ˈuno]","Telling_Time"
"01:02","one oh two","le uno e due","[le ˈuno e ˈdu.e]","Telling_Time"
"01:03","one oh three","le uno e tre","[le ˈuno e ˈtrɛ]","Telling_Time"
"01:04","one oh four","le uno e quattro","[le ˈuno e ˈkwattro]","Telling_Time"
"01:05","one oh five","le uno e cinque","[le ˈuno e ˈtʃiŋkwe]","Telling_Time"
"01:06","one oh six","le uno e sei","[le ˈuno e ˈsɛi]","Telling_Time"
"01:07","one oh seven","le uno e sette","[le ˈuno e ˈsɛtte]","Telling_Time"
"01:08","one oh eight","le uno e otto","[le ˈuno e ˈɔtto]","Telling_Time"
"01:09","one oh nine","le uno e nove","[le ˈuno e ˈnɔve]","Telling_Time"
"01:10","one ten","le uno e dieci","[le ˈuno e ˈdjɛtʃi]","Telling_Time"
"01:11","one eleven","le uno e undici","[le ˈuno e ˈunditʃi]","Telling_Time"
"01:12","one twelve","le uno e dodici","[le ˈuno e ˈdoditʃi]","Telling_Time"
"01:13","one thirteen","le uno e tredici","[le ˈuno e treˈditʃi]","Telling_Time"
"01:14","one fourteen","le uno e quattordici","[le ˈuno e kwatˈtorditʃi]","Telling_Time"
"01:15","one fifteen","le uno e quindici","[le ˈuno e ˈkwinditʃi]","Telling_Time"
"01:16","one sixteen","le uno e sedici","[le ˈuno e seˈditʃi]","Telling_Time"
"01:17","one seventeen","le uno e diciassette","[le ˈuno e ditʃasˈsɛtte]","Telling_Time"
"01:18","one eighteen","le uno e diciotto","[le ˈuno e ditʃˈɔtto]","Telling_Time"
"01:19","one nineteen","le uno e diciannove","[le ˈuno e ditʃanˈnɔve]","Telling_Time"
"01:20","one twenty","le uno e venti","[le ˈuno e ˈvɛnti]","Telling_Time"
"01:21","one twenty-one","le uno e ventuno","[le ˈuno e ventuˈno]","Telling_Time"
"01:22","one twenty-two","le uno e ventidue","[le ˈuno e ventiˈdu.e]","Telling_Time"
"01:23","one twenty-three","le uno e ventitré","[le ˈuno e ventiˈtrɛ]","Telling_Time"
"01:24","one twenty-four","le uno e ventiquattro","[le ˈuno e ventiˈkwattro]","Telling_Time"
"01:25","one twenty-five","le uno e venticinque","[le ˈuno e ventitʃiŋˈkwe]","Telling_Time"
"01:26","one twenty-six","le uno e ventisei","[le ˈuno e ventiˈsɛi]","Telling_Time"
"01:27","one twenty-seven","le uno e ventisette","[le ˈuno e ventiˈsɛtte]","Telling_Time"
"01:28","one twenty-eight","le uno e ventotto","[le ˈuno e ventˈɔtto]","Telling_Time"
"01:29","one twenty-nine","le uno e ventinove","[le ˈuno e ventiˈnɔve]","Telling_Time"
"01:30","one thirty","le uno e trenta","[le ˈuno e ˈtrɛnta]","Telling_Time"
"01:31","one thirty-one","le uno e trentuno","[le ˈuno e trentuˈno]","Telling_Time"
"01:32","one thirty-two","le uno e trentadue","[le ˈuno e trentaˈdu.e]","Telling_Time"
"01:33","one thirty-three","le uno e trentatré","[le ˈuno e trentaˈtrɛ]","Telling_Time"
"01:34","one thirty-four","le uno e trentaquattro","[le ˈuno e trentakˈkwattro]","Telling_Time"
"01:35","one thirty-five","le uno e trentacinque","[le ˈuno e trentatʃiŋˈkwe]","Telling_Time"
"01:36","one thirty-six","le uno e trentasei","[le ˈuno e trantaˈsɛi]","Telling_Time"
"01:37","one thirty-seven","le uno e trentasette","[le ˈuno e trantaˈsɛtte]","Telling_Time"
"01:38","one thirty-eight","le uno e trentotto","[le ˈuno e trantˈɔtto]","Telling_Time"
"01:39","one thirty-nine","le uno e trentanove","[le ˈuno e trantaˈnɔve]","Telling_Time"
"01:40","one forty","le uno e quaranta","[le ˈuno e kwaˈranta]","Telling_Time"
"01:41","one forty-one","le uno e quarantuno","[le ˈuno e kwarantuˈno]","Telling_Time"
"01:42","one forty-two","le uno e quarantadue","[le ˈuno e kwarantaˈdu.e]","Telling_Time"
"01:43","one forty-three","le uno e quarantatré","[le ˈuno e kwarantaˈtrɛ]","Telling_Time"
"01:44","one forty-four","le uno e quarantaquattro","[le ˈuno e kwarantaˈkwattro]","Telling_Time"
"01:45","one forty-five","le uno e quarantacinque","[le ˈuno e kwarantaˈtʃiŋkwe]","Telling_Time"
"01:46","one forty-six","le uno e quarantasei","[le ˈuno e kwarantaˈsɛi]","Telling_Time"
"01:47","one forty-seven","le uno e quarantasette","[le ˈuno e kwarantaˈsɛtte]","Telling_Time"
"01:48","one forty-eight","le uno e quarantotto","[le ˈuno e kwarantˈɔtto]","Telling_Time"
"01:49","one forty-nine","le uno e quarantanove","[le ˈuno e kwarantaˈnɔve]","Telling_Time"
"01:50","one fifty","le uno e cinquanta","[le ˈuno e tʃiŋˈkwanta]","Telling_Time"
"01:51","one fifty-one","le uno e cinquantuno","[le ˈuno e tʃiŋkwantuˈno]","Telling_Time"
"01:52","one fifty-two","le uno e cinquantadue","[le ˈuno e tʃiŋkwantaˈdu.e]","Telling_Time"
"01:53","one fifty-three","le uno e cinquantatré","[le ˈuno e tʃiŋkwantaˈtrɛ]","Telling_Time"
"01:54","one fifty-four","le uno e cinquantaquattro","[le ˈuno e tʃiŋkwantaˈkwattro]","Telling_Time"
"01:55","one fifty-five","le uno e cinquantacinque","[le ˈuno e tʃiŋkwantaˈtʃiŋkwe]","Telling_Time"
"01:56","one fifty-six","le uno e cinquantasei","[le ˈuno e tʃiŋkwantaˈsɛi]","Telling_Time"
"01:57","one fifty-seven","le uno e cinquantasette","[le ˈuno e tʃiŋkwantaˈsɛtte]","Telling_Time"
"01:58","one fifty-eight","le uno e cinquantotto","[le ˈuno e tʃiŋkwantˈɔtto]","Telling_Time"
"01:59","one fifty-nine","le uno e cinquantanove","[le ˈuno e tʃiŋkwantaˈnɔve]","Telling_Time"
"02:00","two o'clock","le due","[le ˈdu.e]","Telling_Time"
"02:01","two oh one","le due e uno","[le ˈdu.e e ˈuno]","Telling_Time"
"02:02","two oh two","le due e due","[le ˈdu.e e ˈdu.e]","Telling_Time"
"02:03","two oh three","le due e tre","[le ˈdu.e e ˈtrɛ]","Telling_Time"
"02:04","two oh four","le due e quattro","[le ˈdu.e e ˈkwattro]","Telling_Time"
"02:05","two oh five","le due e cinque","[le ˈdu.e e ˈtʃiŋkwe]","Telling_Time"
"02:06","two oh six","le due e sei","[le ˈdu.e e ˈsɛi]","Telling_Time"
"02:07","two oh seven","le due e sette","[le ˈdu.e e ˈsɛtte]","Telling_Time"
"02:08","two oh eight","le due e otto","[le ˈdu.e e ˈɔtto]","Telling_Time"
"02:09","two oh nine","le due e nove","[le ˈdu.e e ˈnɔve]","Telling_Time"
"02:10","two ten","le due e dieci","[le ˈdu.e e ˈdjɛtʃi]","Telling_Time"
"02:11","two eleven","le due e undici","[le ˈdu.e e ˈunditʃi]","Telling_Time"
"02:12","two twelve","le due e dodici","[le ˈdu.e e ˈdoditʃi]","Telling_Time"
"02:13","two thirteen","le due e tredici","[le ˈdu.e e treˈditʃi]","Telling_Time"
"02:14","two fourteen","le due e quattordici","[le ˈdu.e e kwatˈtorditʃi]","Telling_Time"
"02:15","two fifteen","le due e quindici","[le ˈdu.e e ˈkwinditʃi]","Telling_Time"
"02:16","two sixteen","le due e sedici","[le ˈdu.e e seˈditʃi]","Telling_Time"
"02:17","two seventeen","le due e diciassette","[le ˈdu.e e ditʃasˈsɛtte]","Telling_Time"
"02:18","two eighteen","le due e diciotto","[le ˈdu.e e ditʃˈɔtto]","Telling_Time"
"02:19","two nineteen","le due e diciannove","[le ˈdu.e e ditʃanˈnɔve]","Telling_Time"
"02:20","two twenty","le due e venti","[le ˈdu.e e ˈvɛnti]","Telling_Time"
"02:21","two twenty-one","le due e ventuno","[le ˈdu.e e ventuˈno]","Telling_Time"
"02:22","two twenty-two","le due e ventidue","[le ˈdu.e e ventiˈdu.e]","Telling_Time"
"02:23","two twenty-three","le due e ventitré","[le ˈdu.e e ventiˈtrɛ]","Telling_Time"
"02:24","two twenty-four","le due e ventiquattro","[le ˈdu.e e ventiˈkwattro]","Telling_Time"
"02:25","two twenty-five","le due e venticinque","[le ˈdu.e e ventitʃiŋˈkwe]","Telling_Time"
"02:26","two twenty-six","le due e ventisei","[le ˈdu.e e ventiˈsɛi]","Telling_Time"
"02:27","two twenty-seven","le due e ventisette","[le ˈdu.e e ventiˈsɛtte]","Telling_Time"
"02:28","two twenty-eight","le due e ventotto","[le ˈdu.e e ventˈɔtto]","Telling_Time"
"02:29","two twenty-nine","le due e ventinove","[le ˈdu.e e ventiˈnɔve]","Telling_Time"
"02:30","two thirty","le due e trenta","[le ˈdu.e e ˈtrɛnta]","Telling_Time"
"02:31","two thirty-one","le due e trentuno","[le ˈdu.e e trentuˈno]","Telling_Time"
"02:32","two thirty-two","le due e trentadue","[le ˈdu.e e trentaˈdu.e]","Telling_Time"
"02:33","two thirty-three","le due e trentatré","[le ˈdu.e e trentaˈtrɛ]","Telling_Time"
"02:34","two thirty-four","le due e trentaquattro","[le ˈdu.e e trentakˈkwattro]","Telling_Time"
"02:35","two thirty-five","le due e trentacinque","[le ˈdu.e e trentatʃiŋˈkwe]","Telling_Time"
"02:36","two thirty-six","le due e trentasei","[le ˈdu.e e trantaˈsɛi]","Telling_Time"
"02:37","two thirty-seven","le due e trentasette","[le ˈdu.e e trantaˈsɛtte]","Telling_Time"
"02:38","two thirty-eight","le due e trentotto","[le ˈdu.e e trantˈɔtto]","Telling_Time"
"02:39","two thirty-nine","le due e trentanove","[le ˈdu.e e trantaˈnɔve]","Telling_Time"
"02:40","two forty","le due e quaranta","[le ˈdu.e e kwaˈranta]","Telling_Time"
"02:41","two forty-one","le due e quarantuno","[le ˈdu.e e kwarantuˈno]","Telling_Time"
"02:42","two forty-two","le due e quarantadue","[le ˈdu.e e kwarantaˈdu.e]","Telling_Time"
"02:43","two forty-three","le due e quarantatré","[le ˈdu.e e kwarantaˈtrɛ]","Telling_Time"
"02:44","two forty-four","le due e quarantaquattro","[le ˈdu.e e kwarantaˈkwattro]","Telling_Time"
"02:45","two forty-five","le due e quarantacinque","[le ˈdu.e e kwarantaˈtʃiŋkwe]","Telling_Time"
"02:46","two forty-six","le due e quarantasei","[le ˈdu.e e kwarantaˈsɛi]","Telling_Time"
"02:47","two forty-seven","le due e quarantasette","[le ˈdu.e e kwarantaˈsɛtte]","Telling_Time"
"02:48","two forty-eight","le due e quarantotto","[le ˈdu.e e kwarantˈɔtto]","Telling_Time"
"02:49","two forty-nine","le due e quarantanove","[le ˈdu.e e kwarantaˈnɔve]","Telling_Time"
"02:50","two fifty","le due e cinquanta","[le ˈdu.e e tʃiŋˈkwanta]","Telling_Time"
"02:51","two fifty-one","le due e cinquantuno","[le ˈdu.e e tʃiŋkwantuˈno]","Telling_Time"
"02:52","two fifty-two","le due e cinquantadue","[le ˈdu.e e tʃiŋkwantaˈdu.e]","Telling_Time"
"02:53","two fifty-three","le due e cinquantatré","[le ˈdu.e e tʃiŋkwantaˈtrɛ]","Telling_Time"
"02:54","two fifty-four","le due e cinquantaquattro","[le ˈdu.e e tʃiŋkwantaˈkwattro]","Telling_Time"
"02:55","two fifty-five","le due e cinquantacinque","[le ˈdu.e e tʃiŋkwantaˈtʃiŋkwe]","Telling_Time"
"02:56","two fifty-six","le due e cinquantasei","[le ˈdu.e e tʃiŋkwantaˈsɛi]","Telling_Time"
"02:57","two fifty-seven","le due e cinquantasette","[le ˈdu.e e tʃiŋkwantaˈsɛtte]","Telling_Time"
"02:58","two fifty-eight","le due e cinquantotto","[le ˈdu.e e tʃiŋkwantˈɔtto]","Telling_Time"
"02:59","two fifty-nine","le due e cinquantanove","[le ˈdu.e e tʃiŋkwantaˈnɔve]","Telling_Time"
"03:00","three o'clock","le tre","[le ˈtrɛ]","Telling_Time"
"03:01","three oh one","le tre e uno","[le ˈtrɛ e ˈuno]","Telling_Time"
"03:02","three oh two","le tre e due","[le ˈtrɛ e ˈdu.e]","Telling_Time"
"03:03","three oh three","le tre e tre","[le ˈtrɛ e ˈtrɛ]","Telling_Time"
"03:04","three oh four","le tre e quattro","[le ˈtrɛ e ˈkwattro]","Telling_Time"
"03:05","three oh five","le tre e cinque","[le ˈtrɛ e ˈtʃiŋkwe]","Telling_Time"
"03:06","three oh six","le tre e sei","[le ˈtrɛ e ˈsɛi]","Telling_Time"
"03:07","three oh seven","le tre e sette","[le ˈtrɛ e ˈsɛtte]","Telling_Time"
"03:08","three oh eight","le tre e otto","[le ˈtrɛ e ˈɔtto]","Telling_Time"
"03:09","three oh nine","le tre e nove","[le ˈtrɛ e ˈnɔve]","Telling_Time"
"03:10","three ten","le tre e dieci","[le ˈtrɛ e ˈdjɛtʃi]","Telling_Time"
"03:11","three eleven","le tre e undici","[le ˈtrɛ e ˈunditʃi]","Telling_Time"
"03:12","three twelve","le tre e dodici","[le ˈtrɛ e ˈdoditʃi]","Telling_Time"
"03:13","three thirteen","le tre e tredici","[le ˈtrɛ e treˈditʃi]","Telling_Time"
"03:14","three fourteen","le tre e quattordici","[le ˈtrɛ e kwatˈtorditʃi]","Telling_Time"
"03:15","three fifteen","le tre e quindici","[le ˈtrɛ e ˈkwinditʃi]","Telling_Time"
"03:16","three sixteen","le tre e sedici","[le ˈtrɛ e seˈditʃi]","Telling_Time"
"03:17","three seventeen","le tre e diciassette","[le ˈtrɛ e ditʃasˈsɛtte]","Telling_Time"
"03:18","three eighteen","le tre e diciotto","[le ˈtrɛ e ditʃˈɔtto]","Telling_Time"
"03:19","three nineteen","le tre e diciannove","[le ˈtrɛ e ditʃanˈnɔve]","Telling_Time"
"03:20","three twenty","le tre e venti","[le ˈtrɛ e ˈvɛnti]","Telling_Time"
"03:21","three twenty-one","le tre e ventuno","[le ˈtrɛ e ventuˈno]","Telling_Time"
"03:22","three twenty-two","le tre e ventidue","[le ˈtrɛ e ventiˈdu.e]","Telling_Time"
"03:23","three twenty-three","le tre e ventitré","[le ˈtrɛ e ventiˈtrɛ]","Telling_Time"
"03:24","three twenty-four","le tre e ventiquattro","[le ˈtrɛ e ventiˈkwattro]","Telling_Time"
"03:25","three twenty-five","le tre e venticinque","[le ˈtrɛ e ventitʃiŋˈkwe]","Telling_Time"
"03:26","three twenty-six","le tre e ventisei","[le ˈtrɛ e ventiˈsɛi]","Telling_Time"
"03:27","three twenty-seven","le tre e ventisette","[le ˈtrɛ e ventiˈsɛtte]","Telling_Time"
"03:28","three twenty-eight","le tre e ventotto","[le ˈtrɛ e ventˈɔtto]","Telling_Time"
"03:29","three twenty-nine","le tre e ventinove","[le ˈtrɛ e ventiˈnɔve]","Telling_Time"
"03:30","three thirty","le tre e trenta","[le ˈtrɛ e ˈtrɛnta]","Telling_Time"
"03:31","three thirty-one","le tre e trentuno","[le ˈtrɛ e trentuˈno]","Telling_Time"
"03:32","three thirty-two","le tre e trentadue","[le ˈtrɛ e trentaˈdu.e]","Telling_Time"
"03:33","three thirty-three","le tre e trentatré","[le ˈtrɛ e trentaˈtrɛ]","Telling_Time"
"03:34","three thirty-four","le tre e trentaquattro","[le ˈtrɛ e trentakˈkwattro]","Telling_Time"
"03:35","three thirty-five","le tre e trentacinque","[le ˈtrɛ e trentatʃiŋˈkwe]","Telling_Time"
"03:36","three thirty-six","le tre e trentasei","[le ˈtrɛ e trantaˈsɛi]","Telling_Time"
"03:37","three thirty-seven","le tre e trentasette","[le ˈtrɛ e trantaˈsɛtte]","Telling_Time"
"03:38","three thirty-eight","le tre e trentotto","[le ˈtrɛ e trantˈɔtto]","Telling_Time"
"03:39","three thirty-nine","le tre e trentanove","[le ˈtrɛ e trantaˈnɔve]","Telling_Time"
"03:40","three forty","le tre e quaranta","[le ˈtrɛ e kwaˈranta]","Telling_Time"
"03:41","three forty-one","le tre e quarantuno","[le ˈtrɛ e kwarantuˈno]","Telling_Time"
"03:42","three forty-two","le tre e quarantadue","[le ˈtrɛ e kwarantaˈdu.e]","Telling_Time"
"03:43","three forty-three","le tre e quarantatré","[le ˈtrɛ e kwarantaˈtrɛ]","Telling_Time"
"03:44","three forty-four","le tre e quarantaquattro","[le ˈtrɛ e kwarantaˈkwattro]","Telling_Time"
"03:45","three forty-five","le tre e quarantacinque","[le ˈtrɛ e kwarantaˈtʃiŋkwe]","Telling_Time"
"03:46","three forty-six","le tre e quarantasei","[le ˈtrɛ e kwarantaˈsɛi]","Telling_Time"
"03:47","three forty-seven","le tre e quarantasette","[le ˈtrɛ e kwarantaˈsɛtte]","Telling_Time"
"03:48","three forty-eight","le tre e quarantotto","[le ˈtrɛ e kwarantˈɔtto]","Telling_Time"
"03:49","three forty-nine","le tre e quarantanove","[le ˈtrɛ e kwarantaˈnɔve]","Telling_Time"
"03:50","three fifty","le tre e cinquanta","[le ˈtrɛ e tʃiŋˈkwanta]","Telling_Time"
"03:51","three fifty-one","le tre e cinquantuno","[le ˈtrɛ e tʃiŋkwantuˈno]","Telling_Time"
"03:52","three fifty-two","le tre e cinquantadue","[le ˈtrɛ e tʃiŋkwantaˈdu.e]","Telling_Time"
"03:53","three fifty-three","le tre e cinquantatré","[le ˈtrɛ e tʃiŋkwantaˈtrɛ]","Telling_Time"
"03:54","three fifty-four","le tre e cinquantaquattro","[le ˈtrɛ e tʃiŋkwantaˈkwattro]","Telling_Time"
"03:55","three fifty-five","le tre e cinquantacinque","[le ˈtrɛ e tʃiŋkwantaˈtʃiŋkwe]","Telling_Time"
"03:56","three fifty-six","le tre e cinquantasei","[le ˈtrɛ e tʃiŋkwantaˈsɛi]","Telling_Time"
"03:57","three fifty-seven","le tre e cinquantasette","[le ˈtrɛ e tʃiŋkwantaˈsɛtte]","Telling_Time"
"03:58","three fifty-eight","le tre e cinquantotto","[le ˈtrɛ e tʃiŋkwantˈɔtto]","Telling_Time"
"03:59","three fifty-nine","le tre e cinquantanove","[le ˈtrɛ e tʃiŋkwantaˈnɔve]","Telling_Time"
"04:00","four o'clock","le quattro","[le ˈkwattro]","Telling_Time"
"04:01","four oh one","le quattro e uno","[le ˈkwattro e ˈuno]","Telling_Time"
"04:02","four oh two","le quattro e due","[le ˈkwattro e ˈdu.e]","Telling_Time"
"04:03","four oh three","le quattro e tre","[le ˈkwattro e ˈtrɛ]","Telling_Time"
"04:04","four oh four","le quattro e quattro","[le ˈkwattro e ˈkwattro]","Telling_Time"
"04:05","four oh five","le quattro e cinque","[le ˈkwattro e ˈtʃiŋkwe]","Telling_Time"
"04:06","four oh six","le quattro e sei","[le ˈkwattro e ˈsɛi]","Telling_Time"
"04:07","four oh seven","le quattro e sette","[le ˈkwattro e ˈsɛtte]","Telling_Time"
"04:08","four oh eight","le quattro e otto","[le ˈkwattro e ˈɔtto]","Telling_Time"
"04:09","four oh nine","le quattro e nove","[le ˈkwattro e ˈnɔve]","Telling_Time"
"04:10","four ten","le quattro e dieci","[le ˈkwattro e ˈdjɛtʃi]","Telling_Time"
"04:11","four eleven","le quattro e undici","[le ˈkwattro e ˈunditʃi]","Telling_Time"
"04:12","four twelve","le quattro e dodici","[le ˈkwattro e ˈdoditʃi]","Telling_Time"
"04:13","four thirteen","le quattro e tredici","[le ˈkwattro e treˈditʃi]","Telling_Time"
"04:14","four fourteen","le quattro e quattordici","[le ˈkwattro e kwatˈtorditʃi]","Telling_Time"
"04:15","four fifteen","le quattro e quindici","[le ˈkwattro e ˈkwinditʃi]","Telling_Time"
"04:16","four sixteen","le quattro e sedici","[le ˈkwattro e seˈditʃi]","Telling_Time"
"04:17","four seventeen","le quattro e diciassette","[le ˈkwattro e ditʃasˈsɛtte]","Telling_Time"
"04:18","four eighteen","le quattro e diciotto","[le ˈkwattro e ditʃˈɔtto]","Telling_Time"
"04:19","four nineteen","le quattro e diciannove","[le ˈkwattro e ditʃanˈnɔve]","Telling_Time"
"04:20","four twenty","le quattro e venti","[le ˈkwattro e ˈvɛnti]","Telling_Time"
"04:21","four twenty-one","le quattro e ventuno","[le ˈkwattro e ventuˈno]","Telling_Time"
"04:22","four twenty-two","le quattro e ventidue","[le ˈkwattro e ventiˈdu.e]","Telling_Time"
"04:23","four twenty-three","le quattro e ventitré","[le ˈkwattro e ventiˈtrɛ]","Telling_Time"
"04:24","four twenty-four","le quattro e ventiquattro","[le ˈkwattro e ventiˈkwattro]","Telling_Time"
"04:25","four twenty-five","le quattro e venticinque","[le ˈkwattro e ventitʃiŋˈkwe]","Telling_Time"
"04:26","four twenty-six","le quattro e ventisei","[le ˈkwattro e ventiˈsɛi]","Telling_Time"
"04:27","four twenty-seven","le quattro e ventisette","[le ˈkwattro e ventiˈsɛtte]","Telling_Time"
"04:28","four twenty-eight","le quattro e ventotto","[le ˈkwattro e ventˈɔtto]","Telling_Time"
"04:29","four twenty-nine","le quattro e ventinove","[le ˈkwattro e ventiˈnɔve]","Telling_Time"
"04:30","four thirty","le quattro e trenta","[le ˈkwattro e ˈtrɛnta]","Telling_Time"
"04:31","four thirty-one","le quattro e trentuno","[le ˈkwattro e trentuˈno]","Telling_Time"
