English_Term,Translation,English_Sentence,Sentence_Translation,IPA,CEFR_Level,Tags,Notes
circle,,,,,a1,,
city,,,,,a1,,
class,,,,,a1,,
classmate,,,,,a1,,
classroom,,,,,a1,,
clean,,,,,a1,,
clever,,,,,a1,,
climb,,,,,a1,,
clock,,,,,a1,,
close,,,,,a1,,
closed,,,,,a1,,
cloth,,,,,a1,,
clothes,,,,,a1,,
cloud,,,,,a1,,
cloudy,,,,,a1,,
club,,,,,a1,,
coach,,,,,a1,,
coat,,,,,a1,,
code,,,,,a1,,
coffee,,,,,a1,,
coke,,,,,a1,,
cold,,,,,a1,,
collect,,,,,a1,,
collection,,,,,a1,,
college,,,,,a1,,
color,,,,,a1,,
colour,,,,,a1,,
come,,,,,a1,,
common,,,,,a1,,
company,,,,,a1,,
compare,,,,,a1,,
complete,,,,,a1,,
computer,,,,,a1,,
concert,,,,,a1,,
contest,,,,,a1,,
conversation,,,,,a1,,
cook,,,,,a1,,
cookie,,,,,a1,,
cooking,,,,,a1,,
cool,,,,,a1,,
cop,,,,,a1,,
copy,,,,,a1,,
corn,,,,,a1,,
corner,,,,,a1,,
correct,,,,,a1,,
cost,,,,,a1,,
couch,,,,,a1,,
could,,,,,a1,,
country,,,,,a1,,
course,,,,,a1,,
cousin,,,,,a1,,
cover,,,,,a1,,
cow,,,,,a1,,
cream,,,,,a1,,
create,,,,,a1,,
credit,,,,,a1,,
cry,,,,,a1,,
culture,,,,,a1,,
cup,,,,,a1,,
customer,,,,,a1,,
cut,,,,,a1,,
cute,,,,,a1,,
dad,,,,,a1,,
daddy,,,,,a1,,
dance,,,,,a1,,
dancer,,,,,a1,,
dancing,,,,,a1,,
dangerous,,,,,a1,,
dark,,,,,a1,,
date,,,,,a1,,
daughter,,,,,a1,,
day,,,,,a1,,
dear,,,,,a1,,
decide,,,,,a1,,
delicious,,,,,a1,,
describe,,,,,a1,,
description,,,,,a1,,
design,,,,,a1,,
desk,,,,,a1,,
detail,,,,,a1,,
dialogue,,,,,a1,,
dictionary,,,,,a1,,
did,,,,,a1,,
die,,,,,a1,,
diet,,,,,a1,,
difference,,,,,a1,,
different,,,,,a1,,
difficult,,,,,a1,,
dig,,,,,a1,,
dining,,,,,a1,,
dinner,,,,,a1,,
dirty,,,,,a1,,
discuss,,,,,a1,,
dish,,,,,a1,,
do,,,,,a1,,
doctor,,,,,a1,,
does,,,,,a1,,
dog,,,,,a1,,
doing,,,,,a1,,
doll,,,,,a1,,
dollar,,,,,a1,,
door,,,,,a1,,
down,,,,,a1,,
downstairs,,,,,a1,,
drama,,,,,a1,,
draw,,,,,a1,,
dream,,,,,a1,,
dress,,,,,a1,,
drink,,,,,a1,,
drive,,,,,a1,,
driver,,,,,a1,,
drop,,,,,a1,,
drum,,,,,a1,,
dry,,,,,a1,,
due,,,,,a1,,
during,,,,,a1,,
each,,,,,a1,,
each,,,,,a1,,
ear,,,,,a1,,
early,,,,,a1,,
east,,,,,a1,,
easy,,,,,a1,,
eat,,,,,a1,,
egg,,,,,a1,,
eight,,,,,a1,,
eighteen,,,,,a1,,
eighty,,,,,a1,,
either,,,,,a1,,
elementary,,,,,a1,,
elephant,,,,,a1,,
eleven,,,,,a1,,
else,,,,,a1,,
email,,,,,a1,,
end,,,,,a1,,
engineer,,,,,a1,,
enjoy,,,,,a1,,
enough,,,,,a1,,
euro,,,,,a1,,
even,,,,,a1,,
evening,,,,,a1,,
event,,,,,a1,,
ever,,,,,a1,,
every,,,,,a1,,
everybody,,,,,a1,,
everyday,,,,,a1,,
everyone,,,,,a1,,
everything,,,,,a1,,
everywhere,,,,,a1,,
exam,,,,,a1,,
example,,,,,a1,,
excellent,,,,,a1,,
excited,,,,,a1,,
exciting,,,,,a1,,
excuse,,,,,a1,,
exercise,,,,,a1,,
expensive,,,,,a1,,
explain,,,,,a1,,
extra,,,,,a1,,
eye,,,,,a1,,
face,,,,,a1,,
fact,,,,,a1,,
factory,,,,,a1,,
fair,,,,,a1,,
fairy,,,,,a1,,
fall,,,,,a1,,
family,,,,,a1,,
famous,,,,,a1,,
fan,,,,,a1,,
fantastic,,,,,a1,,
far,,,,,a1,,
farm,,,,,a1,,
farmer,,,,,a1,,
fast,,,,,a1,,
fat,,,,,a1,,
father,,,,,a1,,
favorite,,,,,a1,,
favourite,,,,,a1,,
feed,,,,,a1,,
feel,,,,,a1,,
feeling,,,,,a1,,
festival,,,,,a1,,
fever,,,,,a1,,
few,,,,,a1,,
field,,,,,a1,,
fifteen,,,,,a1,,
fifth,,,,,a1,,
fifty,,,,,a1,,
fight,,,,,a1,,
file,,,,,a1,,
fill,,,,,a1,,
film,,,,,a1,,
final,,,,,a1,,
find,,,,,a1,,
fine,,,,,a1,,
finish,,,,,a1,,
fire,,,,,a1,,
first,,,,,a1,,
fish,,,,,a1,,
fishing,,,,,a1,,
five,,,,,a1,,
flag,,,,,a1,,
flat,,,,,a1,,
flight,,,,,a1,,
floor,,,,,a1,,
flower,,,,,a1,,
fly,,,,,a1,,
focus,,,,,a1,,
foggy,,,,,a1,,
follow,,,,,a1,,
following,,,,,a1,,
food,,,,,a1,,
foot,,,,,a1,,
football,,,,,a1,,
for,,,,,a1,,
foreign,,,,,a1,,
foreigner,,,,,a1,,
forget,,,,,a1,,
form,,,,,a1,,
forty,,,,,a1,,
four,,,,,a1,,
fourteen,,,,,a1,,
fourth,,,,,a1,,
free,,,,,a1,,
friend,,,,,a1,,
friendly,,,,,a1,,
frog,,,,,a1,,
from,,,,,a1,,
front,,,,,a1,,
fruit,,,,,a1,,
full,,,,,a1,,
fun,,,,,a1,,
funny,,,,,a1,,
future,,,,,a1,,
game,,,,,a1,,
garbage,,,,,a1,,
garden,,,,,a1,,
geography,,,,,a1,,
get,,,,,a1,,
ghost,,,,,a1,,
gift,,,,,a1,,
girl,,,,,a1,,
girlfriend,,,,,a1,,
give,,,,,a1,,
glad,,,,,a1,,
glass,,,,,a1,,
glasses,,,,,a1,,
go,,,,,a1,,
goal,,,,,a1,,
gold,,,,,a1,,
good,,,,,a1,,
good,,,,,a1,,
good,,,,,a1,,
good,,,,,a1,,
goodbye,,,,,a1,,
grade,,,,,a1,,
grammar,,,,,a1,,
grandfather,,,,,a1,,
grandma,,,,,a1,,
grandmother,,,,,a1,,
grandpa,,,,,a1,,
grandparent,,,,,a1,,
grape,,,,,a1,,
grass,,,,,a1,,
gray,,,,,a1,,
great,,,,,a1,,
green,,,,,a1,,
greet,,,,,a1,,
grey,,,,,a1,,
ground,,,,,a1,,
group,,,,,a1,,
grow,,,,,a1,,
guess,,,,,a1,,
guest,,,,,a1,,
guitar,,,,,a1,,
guy,,,,,a1,,
gym,,,,,a1,,
habit,,,,,a1,,
had,,,,,a1,,
hair,,,,,a1,,
haircut,,,,,a1,,
half,,,,,a1,,
hall,,,,,a1,,
hamburger,,,,,a1,,
hand,,,,,a1,,
handsome,,,,,a1,,
happen,,,,,a1,,
happy,,,,,a1,,
hard,,,,,a1,,
has,,,,,a1,,
hat,,,,,a1,,
hate,,,,,a1,,
have,,,,,a1,,
have,,,,,a1,,
he,,,,,a1,,
head,,,,,a1,,
headache,,,,,a1,,
health,,,,,a1,,
healthy,,,,,a1,,
hear,,,,,a1,,
heart,,,,,a1,,
heavy,,,,,a1,,
hello,,,,,a1,,
help,,,,,a1,,
her,,,,,a1,,
here,,,,,a1,,
hers,,,,,a1,,
hey,,,,,a1,,
hi,,,,,a1,,
hide,,,,,a1,,
high,,,,,a1,,
hill,,,,,a1,,
him,,,,,a1,,
his,,,,,a1,,
history,,,,,a1,,
hobby,,,,,a1,,
hold,,,,,a1,,
hole,,,,,a1,,
holiday,,,,,a1,,
home,,,,,a1,,
hometown,,,,,a1,,
homework,,,,,a1,,
hope,,,,,a1,,
horse,,,,,a1,,
hospital,,,,,a1,,
hot,,,,,a1,,
hotel,,,,,a1,,
hour,,,,,a1,,
house,,,,,a1,,
how,,,,,a1,,
however,,,,,a1,,
hundred,,,,,a1,,
hungry,,,,,a1,,
hurry,,,,,a1,,
hurt,,,,,a1,,
husband,,,,,a1,,
ice,,,,,a1,,
ice,,,,,a1,,
idea,,,,,a1,,
ideal,,,,,a1,,
if,,,,,a1,,
imagine,,,,,a1,,
important,,,,,a1,,
improve,,,,,a1,,
in,,,,,a1,,
include,,,,,a1,,
information,,,,,a1,,
inside,,,,,a1,,
interest,,,,,a1,,
interested,,,,,a1,,
interesting,,,,,a1,,
internet,,,,,a1,,
interview,,,,,a1,,
interviewer,,,,,a1,,
into,,,,,a1,,
introduce,,,,,a1,,
is,,,,,a1,,
island,,,,,a1,,
it,,,,,a1,,
item,,,,,a1,,
its,,,,,a1,,
jacket,,,,,a1,,
jeans,,,,,a1,,
jet,,,,,a1,,
jewelry,,,,,a1,,
job,,,,,a1,,
join,,,,,a1,,
journey,,,,,a1,,
judge,,,,,a1,,
juice,,,,,a1,,
jump,,,,,a1,,
just,,,,,a1,,
keep,,,,,a1,,
key,,,,,a1,,
kick,,,,,a1,,
kid,,,,,a1,,
kill,,,,,a1,,
kilometre,,,,,a1,,
kind,,,,,a1,,
kind,,,,,a1,,
king,,,,,a1,,
kiss,,,,,a1,,
kitchen,,,,,a1,,
kite,,,,,a1,,
knee,,,,,a1,,
knife,,,,,a1,,
know,,,,,a1,,
lady,,,,,a1,,
land,,,,,a1,,
language,,,,,a1,,
large,,,,,a1,,
last,,,,,a1,,
last,,,,,a1,,
late,,,,,a1,,
later,,,,,a1,,
laugh,,,,,a1,,
lazy,,,,,a1,,
leader,,,,,a1,,
leaf,,,,,a1,,
learn,,,,,a1,,
leave,,,,,a1,,
left,,,,,a1,,
leg,,,,,a1,,
lesson,,,,,a1,,
let,,,,,a1,,
letter,,,,,a1,,
library,,,,,a1,,
lie,,,,,a1,,
life,,,,,a1,,
light,,,,,a1,,
light,,,,,a1,,
like,,,,,a1,,
like,,,,,a1,,
like,,,,,a1,,
lily,,,,,a1,,
line,,,,,a1,,
lion,,,,,a1,,
list,,,,,a1,,
listen,,,,,a1,,
little,,,,,a1,,
live,,,,,a1,,
living,,,,,a1,,
living,,,,,a1,,
local,,,,,a1,,
lonely,,,,,a1,,
long,,,,,a1,,
look,,,,,a1,,
lose,,,,,a1,,
lot,,,,,a1,,
love,,,,,a1,,
lovely,,,,,a1,,
luck,,,,,a1,,
lucky,,,,,a1,,
lunch,,,,,a1,,
machine,,,,,a1,,
magazine,,,,,a1,,
mail,,,,,a1,,
main,,,,,a1,,
make,,,,,a1,,
man,,,,,a1,,
many,,,,,a1,,
map,,,,,a1,,
market,,,,,a1,,
married,,,,,a1,,
match,,,,,a1,,
match,,,,,a1,,
math,,,,,a1,,
matter,,,,,a1,,
may,,,,,a1,,
maybe,,,,,a1,,
me,,,,,a1,,
meal,,,,,a1,,
mean,,,,,a1,,
meaning,,,,,a1,,
meat,,,,,a1,,
medicine,,,,,a1,,
meet,,,,,a1,,
meeting,,,,,a1,,
member,,,,,a1,,
memory,,,,,a1,,
menu,,,,,a1,,
merry,,,,,a1,,
message,,,,,a1,,
metre,,,,,a1,,
middle,,,,,a1,,
midnight,,,,,a1,,
mile,,,,,a1,,
milk,,,,,a1,,
million,,,,,a1,,
mind,,,,,a1,,
mine,,,,,a1,,
minute,,,,,a1,,
miss,,,,,a1,,
mistake,,,,,a1,,
mobile,,,,,a1,,
mobile,,,,,a1,,
model,,,,,a1,,
modern,,,,,a1,,
mom,,,,,a1,,
moment,,,,,a1,,
mommy,,,,,a1,,
money,,,,,a1,,
monkey,,,,,a1,,
month,,,,,a1,,
moon,,,,,a1,,
more,,,,,a1,,
morning,,,,,a1,,
most,,,,,a1,,
mother,,,,,a1,,
mountain,,,,,a1,,
mouse,,,,,a1,,
mouth,,,,,a1,,
move,,,,,a1,,
movie,,,,,a1,,
much,,,,,a1,,
mum,,,,,a1,,
museum,,,,,a1,,
music,,,,,a1,,
musician,,,,,a1,,
must,,,,,a1,,
my,,,,,a1,,
name,,,,,a1,,
nationality,,,,,a1,,
natural,,,,,a1,,
near,,,,,a1,,
neck,,,,,a1,,
need,,,,,a1,,
negative,,,,,a1,,
neighbor,,,,,a1,,
neighbour,,,,,a1,,
never,,,,,a1,,
new,,,,,a1,,
news,,,,,a1,,
newspaper,,,,,a1,,
next,,,,,a1,,
next,,,,,a1,,
nice,,,,,a1,,
night,,,,,a1,,
nine,,,,,a1,,
nineteen,,,,,a1,,
ninety,,,,,a1,,
no,,,,,a1,,
no,,,,,a1,,
nobody,,,,,a1,,
noise,,,,,a1,,
north,,,,,a1,,
nose,,,,,a1,,
not,,,,,a1,,
note,,,,,a1,,
notebook,,,,,a1,,
nothing,,,,,a1,,
now,,,,,a1,,
number,,,,,a1,,
nurse,,,,,a1,,
o'clock,,,,,a1,,
object,,,,,a1,,
of,,,,,a1,,
off,,,,,a1,,
office,,,,,a1,,
officer,,,,,a1,,
often,,,,,a1,,
oh,,,,,a1,,
okay,,,,,a1,,
old,,,,,a1,,
on,,,,,a1,,
once,,,,,a1,,
one,,,,,a1,,
onion,,,,,a1,,
online,,,,,a1,,
only,,,,,a1,,
open,,,,,a1,,
opera,,,,,a1,,
opinion,,,,,a1,,
opposite,,,,,a1,,
or,,,,,a1,,
orange,,,,,a1,,
order,,,,,a1,,
other,,,,,a1,,
our,,,,,a1,,
ours,,,,,a1,,
out,,,,,a1,,
outside,,,,,a1,,
over,,,,,a1,,
own,,,,,a1,,
owner,,,,,a1,,
page,,,,,a1,,
paint,,,,,a1,,
painting,,,,,a1,,
pair,,,,,a1,,
palace,,,,,a1,,
pants,,,,,a1,,
paper,,,,,a1,,
paragraph,,,,,a1,,
pardon,,,,,a1,,
parent,,,,,a1,,
park,,,,,a1,,
part,,,,,a1,,
partner,,,,,a1,,
party,,,,,a1,,
passport,,,,,a1,,
past,,,,,a1,,
pay,,,,,a1,,
peace,,,,,a1,,
pen,,,,,a1,,
pencil,,,,,a1,,
people,,,,,a1,,
pepper,,,,,a1,,
perfect,,,,,a1,,
period,,,,,a1,,
person,,,,,a1,,
personal,,,,,a1,,
pet,,,,,a1,,
phone,,,,,a1,,
photo,,,,,a1,,
photograph,,,,,a1,,
phrase,,,,,a1,,
piano,,,,,a1,,
pick,,,,,a1,,
picnic,,,,,a1,,
picture,,,,,a1,,
piece,,,,,a1,,
pig,,,,,a1,,
pink,,,,,a1,,
pizza,,,,,a1,,
place,,,,,a1,,
plan,,,,,a1,,
plane,,,,,a1,,
plant,,,,,a1,,
play,,,,,a1,,
player,,,,,a1,,
please,,,,,a1,,
pleasure,,,,,a1,,
pocket,,,,,a1,,
poem,,,,,a1,,
point,,,,,a1,,
police,,,,,a1,,
policeman,,,,,a1,,
pollution,,,,,a1,,
pool,,,,,a1,,
poor,,,,,a1,,
pop,,,,,a1,,
popular,,,,,a1,,
positive,,,,,a1,,
possible,,,,,a1,,
post,,,,,a1,,
poster,,,,,a1,,
potato,,,,,a1,,
pound,,,,,a1,,
practice,,,,,a1,,
practise,,,,,a1,,
pray,,,,,a1,,
prefer,,,,,a1,,
prepare,,,,,a1,,
present,,,,,a1,,
pretty,,,,,a1,,
price,,,,,a1,,
prince,,,,,a1,,
princess,,,,,a1,,
probably,,,,,a1,,
problem,,,,,a1,,
product,,,,,a1,,
program,,,,,a1,,
programme,,,,,a1,,
project,,,,,a1,,
purple,,,,,a1,,
push,,,,,a1,,
put,,,,,a1,,
quarter,,,,,a1,,
question,,,,,a1,,
quick,,,,,a1,,
quickly,,,,,a1,,
quiet,,,,,a1,,
quite,,,,,a1,,
rabbit,,,,,a1,,
radio,,,,,a1,,
rain,,,,,a1,,
rainy,,,,,a1,,
rat,,,,,a1,,
read,,,,,a1,,
reader,,,,,a1,,
reading,,,,,a1,,
ready,,,,,a1,,
real,,,,,a1,,
really,,,,,a1,,
reason,,,,,a1,,
red,,,,,a1,,
relax,,,,,a1,,
remember,,,,,a1,,
repeat,,,,,a1,,
report,,,,,a1,,
reporter,,,,,a1,,
restaurant,,,,,a1,,
result,,,,,a1,,
return,,,,,a1,,
review,,,,,a1,,
ribbon,,,,,a1,,
rice,,,,,a1,,
rich,,,,,a1,,
ride,,,,,a1,,
right,,,,,a1,,
ring,,,,,a1,,
river,,,,,a1,,
road,,,,,a1,,
role,,,,,a1,,
room,,,,,a1,,
rose,,,,,a1,,
routine,,,,,a1,,
row,,,,,a1,,
rude,,,,,a1,,
rule,,,,,a1,,
ruler,,,,,a1,,
run,,,,,a1,,
sad,,,,,a1,,
sailor,,,,,a1,,
salad,,,,,a1,,
sale,,,,,a1,,
salt,,,,,a1,,
same,,,,,a1,,
sandwich,,,,,a1,,
save,,,,,a1,,
saw,,,,,a1,,
say,,,,,a1,,
school,,,,,a1,,
science,,,,,a1,,
scientist,,,,,a1,,
sea,,,,,a1,,
seat,,,,,a1,,
second,,,,,a1,,
section,,,,,a1,,
see,,,,,a1,,
self,,,,,a1,,
sell,,,,,a1,,
send,,,,,a1,,
sentence,,,,,a1,,
set,,,,,a1,,
seven,,,,,a1,,
seventeen,,,,,a1,,
seventy,,,,,a1,,
shake,,,,,a1,,
share,,,,,a1,,
she,,,,,a1,,
sheep,,,,,a1,,
shelf,,,,,a1,,
ship,,,,,a1,,
shirt,,,,,a1,,
shoe,,,,,a1,,
shop,,,,,a1,,
shopping,,,,,a1,,
short,,,,,a1,,
should,,,,,a1,,
shoulder,,,,,a1,,
show,,,,,a1,,
shower,,,,,a1,,
shy,,,,,a1,,
sick,,,,,a1,,
side,,,,,a1,,
sight,,,,,a1,,
sign,,,,,a1,,
similar,,,,,a1,,
sing,,,,,a1,,
singer,,,,,a1,,
sir,,,,,a1,,
sister,,,,,a1,,
sit,,,,,a1,,
site,,,,,a1,,
situation,,,,,a1,,
six,,,,,a1,,
sixteen,,,,,a1,,
sixty,,,,,a1,,
size,,,,,a1,,
skill,,,,,a1,,
skirt,,,,,a1,,
sky,,,,,a1,,
sleep,,,,,a1,,
slow,,,,,a1,,
small,,,,,a1,,
smart,,,,,a1,,
smell,,,,,a1,,
smile,,,,,a1,,
smith,,,,,a1,,
smoke,,,,,a1,,
smoking,,,,,a1,,
snake,,,,,a1,,
snow,,,,,a1,,
snowy,,,,,a1,,
so,,,,,a1,,
soccer,,,,,a1,,
social,,,,,a1,,
sofa,,,,,a1,,
solve,,,,,a1,,
some,,,,,a1,,
somebody,,,,,a1,,
someone,,,,,a1,,
something,,,,,a1,,
sometimes,,,,,a1,,
son,,,,,a1,,
song,,,,,a1,,
soon,,,,,a1,,
sorry,,,,,a1,,
sound,,,,,a1,,
soup,,,,,a1,,
south,,,,,a1,,
space,,,,,a1,,
speak,,,,,a1,,
special,,,,,a1,,
speech,,,,,a1,,
spell,,,,,a1,,
spelling,,,,,a1,,
spend,,,,,a1,,
sport,,,,,a1,,
spot,,,,,a1,,
spring,,,,,a1,,
spy,,,,,a1,,
stage,,,,,a1,,
stand,,,,,a1,,
star,,,,,a1,,
start,,,,,a1,,
statement,,,,,a1,,
station,,,,,a1,,
stay,,,,,a1,,
step,,,,,a1,,
still,,,,,a1,,
stone,,,,,a1,,
stop,,,,,a1,,
store,,,,,a1,,
story,,,,,a1,,
straight,,,,,a1,,
strange,,,,,a1,,
street,,,,,a1,,
strict,,,,,a1,,
strong,,,,,a1,,
student,,,,,a1,,
study,,,,,a1,,
style,,,,,a1,,
subject,,,,,a1,,
subway,,,,,a1,,
success,,,,,a1,,
successful,,,,,a1,,
sugar,,,,,a1,,
suggestion,,,,,a1,,
sum,,,,,a1,,
summer,,,,,a1,,
sun,,,,,a1,,
sunny,,,,,a1,,
sunshine,,,,,a1,,
super,,,,,a1,,
supermarket,,,,,a1,,
sure,,,,,a1,,
surf,,,,,a1,,
surprise,,,,,a1,,
survey,,,,,a1,,
sweater,,,,,a1,,
sweet,,,,,a1,,
swim,,,,,a1,,
swimming,,,,,a1,,
swimming,,,,,a1,,
table,,,,,a1,,
take,,,,,a1,,
talk,,,,,a1,,
tall,,,,,a1,,
taxi,,,,,a1,,
tea,,,,,a1,,
teach,,,,,a1,,
teacher,,,,,a1,,
team,,,,,a1,,
technology,,,,,a1,,
teenager,,,,,a1,,
telephone,,,,,a1,,
television,,,,,a1,,
tell,,,,,a1,,
temple,,,,,a1,,
ten,,,,,a1,,
tennis,,,,,a1,,
terrible,,,,,a1,,
test,,,,,a1,,
text,,,,,a1,,
than,,,,,a1,,
thank,,,,,a1,,
thanks,,,,,a1,,
that,,,,,a1,,
the,,,,,a1,,
theater,,,,,a1,,
theatre,,,,,a1,,
their,,,,,a1,,
them,,,,,a1,,
then,,,,,a1,,
there,,,,,a1,,
these,,,,,a1,,
they,,,,,a1,,
thick,,,,,a1,,
thin,,,,,a1,,
thing,,,,,a1,,
think,,,,,a1,,
third,,,,,a1,,
thirsty,,,,,a1,,
thirteen,,,,,a1,,
thirty,,,,,a1,,
this,,,,,a1,,
those,,,,,a1,,
thousand,,,,,a1,,
three,,,,,a1,,
through,,,,,a1,,
throw,,,,,a1,,
ticket,,,,,a1,,
tiger,,,,,a1,,
tight,,,,,a1,,
time,,,,,a1,,
tired,,,,,a1,,
title,,,,,a1,,
to,,,,,a1,,
today,,,,,a1,,
together,,,,,a1,,
toilet,,,,,a1,,
tomato,,,,,a1,,
tomorrow,,,,,a1,,
tonight,,,,,a1,,
too,,,,,a1,,
tool,,,,,a1,,
tooth,,,,,a1,,
top,,,,,a1,,
topic,,,,,a1,,
touch,,,,,a1,,
tourist,,,,,a1,,
towel,,,,,a1,,
tower,,,,,a1,,
town,,,,,a1,,
toy,,,,,a1,,
traffic,,,,,a1,,
train,,,,,a1,,
travel,,,,,a1,,
tree,,,,,a1,,
trip,,,,,a1,,
trousers,,,,,a1,,
truck,,,,,a1,,
try,,,,,a1,,
tube,,,,,a1,,
turkey,,,,,a1,,
turn,,,,,a1,,
twelve,,,,,a1,,
twenty,,,,,a1,,
twice,,,,,a1,,
two,,,,,a1,,
type,,,,,a1,,
ugly,,,,,a1,,
umbrella,,,,,a1,,
uncle,,,,,a1,,
under,,,,,a1,,
underline,,,,,a1,,
understand,,,,,a1,,
university,,,,,a1,,
until,,,,,a1,,
up,,,,,a1,,
