"English","Italian","IPA","Tags","Notes"
"grace","grazia","/ˈɡrat.t͡sja/","A1;Noun",""
"front","fronte","/ˈfron.te/","A1;Noun",""
"past","passato","/pasˈsaː.to/","A1;Noun",""
"bill","conto","/ˈkon.to/","A1;Noun",""
"space","spazio","/ˈspat.t͡sjo/","A1;Noun",""
"body","corpo","/ˈkor.po/","A1;Noun",""
"star","stella","/ˈstel.la/","A1;Noun",""
"number","numero","/ˈnuː.me.ro/","A1;Noun",""
"race","corsa","/ˈkor.sa/","A1;Noun",""
"minister","ministro","/miˈnis.tro/","A1;Noun",""
"grass","erba","/ˈɛr.ba/","A1;Noun",""
"problem","problema","/proˈblɛː.ma/","A1;Noun",""
"origin","origine","/oˈriː.dʒi.ne/","A1;Noun",""
"arm","braccio","/ˈbrat.t͡ʃo/","A1;Noun",""
"police","polizia","/po.liˈt͡siː.a/","A1;Noun",""
"child","bambino","/bamˈbiː.no/","A1;Noun",""
"kilometer","chilometro","/kiˈlɔː.me.tro/","A1;Noun",""
"peace","pace","/ˈpaː.t͡ʃe/","A1;Noun",""
"mother","madre","/ˈmaː.dre/","A1;Noun",""
"death","morte","/ˈmor.te/","A1;Noun",""
"heart","cuore","/ˈkwɔː.re/","A1;Noun",""
"form","forma","/ˈfor.ma/","A1;Noun",""
"idea","idea","/iˈdɛː.a/","A1;Noun",""
"rest","resto","/ˈrɛs.to/","A1;Noun",""
"order","ordine","/ˈor.di.ne/","A1;Noun",""
"study","studio","/ˈstuː.djo/","A1;Noun",""
"face","faccia","/ˈfat.t͡ʃa/","A1;Noun",""
"daughter","figlia","/ˈfiʎ.ʎa/","A1;Noun",""
"wife","moglie","/ˈmoʎ.ʎe/","A1;Noun",""
"need","bisogno","/biˈzoɲ.ɲo/","A1;Noun",""
"condition","condizione","/kon.diˈt͡sjoː.ne/","A1;Noun",""
"sky","cielo","/ˈt͡ʃɛː.lo/","A1;Noun",""
"teacher","professore","/pro.fesˈsoː.re/","A1;Noun",""
"bed","letto","/ˈlɛt.to/","A1;Noun",""
"husband","marito","/maˈriː.to/","A1;Noun",""
"truth","verità","/ve.riˈta/","A1;Noun",""
"hair","capello","/kaˈpɛl.lo/","A1;Noun",""
"sign","segno","/ˈseɲ.ɲo/","A1;Noun",""
"region","regione","/reˈdʒoː.ne/","A1;Noun",""
"right","diritto","/diˈrit.to/","A1;Noun",""
"Mountain","monte","/ˈmon.te/","A1;Noun",""
"letter","lettera","/ˈlɛt.te.ra/","A1;Noun",""
"university","università","/u.ni.ver.siˈta/","A1;Noun",""
"girl","ragazza","/raˈɡat.tsa/","A1;Noun",""
"train","treno","/ˈtreː.no/","A1;Noun",""
"school","scuola","/ˈskwɔː.la/","A1;Noun",""
"winter","inverno","/inˈvɛr.no/","A1;Noun",""
"room","camera","/ˈkaː.me.ra/","A1;Noun",""
"nation","nazione","/natˈtsjoː.ne/","A1;Noun",""
"group","gruppo","/ˈɡrup.po/","A1;Noun",""
"page","pagina","/ˈpaː.dʒi.na/","A1;Noun",""
"speech","discorso","/diˈskor.so/","A1;Noun",""
"purpose","scopo","/ˈskoː.po/","A1;Noun",""
"center","centro","/ˈtʃɛn.tro/","A1;Noun",""
"partner","compagno","/komˈpaɲ.ɲo/","A1;Noun",""
"century","secolo","/ˈseː.ko.lo/","A1;Noun",""
"need","necessità","/ne.tʃes.siˈta/","A1;Noun",""
"half","mezzo","/ˈmɛt.tso/","A1;Noun",""
"power","potere","/poˈteː.re/","A1;Noun",""
"guy","tipo","/ˈtiː.po/","A1;Noun",""
"music","musica","/ˈmuː.zi.ka/","A1;Noun",""
"fault","colpa","/ˈkol.pa/","A1;Noun",""
"doctor","dottore","/dotˈtoː.re/","A1;Noun",""
"respect","rispetto","/riˈspɛt.to/","A1;Noun",""
"feeling","sentimento","/sen.tiˈmɛn.to/","A1;Noun",""
"scene","scena","/ˈʃɛː.na/","A1;Noun",""
"ship","nave","/ˈnaː.ve/","A1;Noun",""
"object","oggetto","/odˈdʒɛt.to/","A1;Noun",""
"Stone","pietra","/ˈpjɛː.tra/","A1;Noun",""
"possibility","possibilità","/pos.si.bi.liˈta/","A1;Noun",""
"production","produzione","/pro.duˈtsjoː.ne/","A1;Noun",""
"mom","mamma","/ˈmam.ma/","A1;Noun",""
"hope","speranza","/speˈran.tsa/","A1;Noun",""
"presence","presenza","/preˈzɛn.tsa/","A1;Noun",""
"ache","dolore","/doˈloː.re/","A1;Noun",""
"theater","teatro","/teˈaː.tro/","A1;Noun",""
"meat","carne","/ˈkar.ne/","A1;Noun",""
"coffee","caffè","/kafˈfɛ/","A1;Noun",""
"general","generale","/dʒeneˈraː.le/","A1;Noun",""
"principle","principio","/prinˈtʃiː.pjo/","A1;Noun",""
"purpose","proposito","/proˈpɔː.zi.to/","A1;Noun",""
"term","termine","/ˈtɛr.mi.ne/","A1;Noun",""
"element","elemento","/e.leˈmɛn.to/","A1;Noun",""
"tongue","lingua","/ˈliŋ.ɡwa/","A1;Noun",""
"railway station","stazione","/staˈtsjoː.ne/","A1;Noun",""
"piece","pezzo","/ˈpɛt.tso/","A1;Noun",""
"matter","materia","/maˈtɛː.rja/","A1;Noun",""
"ladder","scala","/ˈska.la/","A1;Noun",""
"lunch","pranzo","/ˈpran.dzo/","A1;Noun",""
"way","maniera","/maˈnjɛː.ra/","A1;Noun",""
"it costs","costa","/ˈkɔs.ta/","A1;Noun",""
"weapon","arma","/ˈar.ma/","A1;Noun",""
"meadow","prato","/ˈpraː.to/","A1;Noun",""
"authority","autorità","/au.to.riˈta/","A1;Noun",""
"republic","repubblica","/reˈpub.bli.ka/","A1;Noun",""
"leg","gamba","/ˈɡam.ba/","A1;Noun",""
"Valley","valle","/ˈval.le/","A1;Noun",""
"homeland","patria","/ˈpa.trja/","A1;Noun",""
"north","nord","/nɔrd/","A1;Noun",""
"joy","gioia","/ˈdʒɔː.ja/","A1;Noun",""
"smell","odore","/oˈdoː.re/","A1;Noun",""
"topic","argomento","/ar.ɡoˈmɛn.to/","A1;Noun",""
"article","articolo","/arˈtiː.ko.lo/","A1;Noun",""
"report","relazione","/re.laˈtsjoː.ne/","A1;Noun",""
"Revolution","rivoluzione","/ri.vo.luˈtsjoː.ne/","A1;Noun",""
"class","classe","/ˈklas.se/","A1;Noun",""
"aunt","zia","/ˈtsi.a/","A1;Noun",""
"face","viso","/ˈviː.zo/","A1;Noun",""
"power","potenza","/poˈtɛn.tsa/","A1;Noun",""
"gesture","gesto","/ˈdʒɛs.to/","A1;Noun",""
"effort","sforzo","/ˈzfor.tso/","A1;Noun",""
"bridge","ponte","/ˈpon.te/","A1;Noun",""
"crisis","crisi","/ˈkriː.zi/","A1;Noun",""
"limit","limite","/ˈliː.mi.te/","A1;Noun",""
"pity","pietà","/pjeˈta/","A1;Noun",""
"return","ritorno","/riˈtor.no/","A1;Noun",""
"territory","territorio","/ter.riˈtɔː.rjo/","A1;Noun",""
"exam","esame","/eˈzaː.me/","A1;Noun",""
"civilization","civiltà","/tʃi.vilˈta/","A1;Noun",""
"side","lato","/ˈlaː.to/","A1;Noun",""
"contact","contatto","/konˈtat.to/","A1;Noun",""
"operation","operazione","/o.pe.raˈtsjoː.ne/","A1;Noun",""
"error","errore","/erˈroː.re/","A1;Noun",""
"hurry","fretta","/ˈfret.ta/","A1;Noun",""
"step","passo","/ˈpas.so/","A1;Noun",""
"intention","intenzione","/in.tenˈtsjoː.ne/","A1;Noun",""
"day","giornata","/dʒorˈnaː.ta/","A1;Noun",""
"culture","cultura","/kulˈtuː.ra/","A1;Noun",""
"service","servizio","/serˈviː.tsjo/","A1;Noun",""
"judgement","giudizio","/dʒuˈdiː.tsjo/","A1;Noun",""
"relationship","rapporto","/rapˈpɔr.to/","A1;Noun",""
"expense","spesa","/ˈspeː.za/","A1;Noun",""
"million","milione","/miˈljoː.ne/","A1;Noun",""
"Help","aiuto","/aˈjuː.to/","A1;Noun",""
"room","stanza","/ˈstan.tsa/","A1;Noun",""
"environment","ambiente","/amˈbjɛn.te/","A1;Noun",""
"value","valore","/vaˈloː.re/","A1;Noun",""
"mind","animo","/ˈaː.ni.mo/","A1;Noun",""
"blow","colpo","/ˈkol.po/","A1;Noun",""
"beast","bestia","/ˈbɛs.tja/","A1;Noun",""
"blood","sangue","/ˈsan.ɡwe/","A1;Noun",""
"courtyard","cortile","/korˈtiː.le/","A1;Noun",""
"interest","interesse","/in.teˈres.se/","A1;Noun",""
"skin","pelle","/ˈpɛl.le/","A1;Noun",""
"shoulder","spalla","/ˈspal.la/","A1;Noun",""
"proposal","proposta","/proˈpɔs.ta/","A1;Noun",""
"silence","silenzio","/siˈlɛn.tsjo/","A1;Noun",""
"shore","riva","/ˈriː.va/","A1;Noun",""
"young lady","signorina","/siɲ.ɲoˈriː.na/","A1;Noun",""
"secretary","segretario","/se.ɡreˈtaː.rjo/","A1;Noun",""
"shadow","ombra","/ˈom.bra/","A1;Noun",""
"dress","abito","/ˈaː.bi.to/","A1;Noun",""
"action","azione","/aˈtsjoː.ne/","A1;Noun",""
"key","chiave","/ˈkjaː.ve/","A1;Noun",""
"wind","vento","/ˈvɛn.to/","A1;Noun",""
"current","corrente","/korˈrɛn.te/","A1;Noun",""
"morning","mattina","/matˈtiː.na/","A1;Noun",""
"worker","operaio","/o.peˈraː.jo/","A1;Noun",""
"color","colore","/koˈloː.re/","A1;Noun",""
"course","corso","/ˈkor.so/","A1;Noun",""
"president","presidente","/pre.ziˈdɛn.te/","A1;Noun",""
"window","finestra","/fiˈnɛs.tra/","A1;Noun",""
"Advice","consiglio","/konˈsiʎ.ʎo/","A1;Noun",""
"art","arte","/ˈar.te/","A1;Noun",""
"prince","principe","/ˈprin.tʃi.pe/","A1;Noun",""
"system","sistema","/sisˈteː.ma/","A1;Noun",""
"travel","viaggio","/viˈad.dʒo/","A1;Noun",""
"plan","piano","/ˈpjaː.no/","A1;Noun",""
"kind","genere","/ˈdʒɛː.ne.re/","A1;Noun",""
"mouth","bocca","/ˈbok.ka/","A1;Noun",""
"newspaper","giornale","/dʒorˈnaː.le/","A1;Noun",""
"soul","anima","/ˈaː.ni.ma/","A1;Noun",""
"spirit","spirito","/ˈspiː.ri.to/","A1;Noun",""
"palace","palazzo","/paˈlat.tso/","A1;Noun",""
"horse","cavallo","/kaˈval.lo/","A1;Noun",""
"Wall","muro","/ˈmuː.ro/","A1;Noun",""
"beauty","bellezza","/belˈlet.tsa/","A1;Noun",""
"situation","situazione","/si.twa.ˈtsjoː.ne/","A1;Noun",""
"question","domanda","/doˈman.da/","A1;Noun",""
"line","linea","/ˈliː.ne.a/","A1;Noun",""
"plant","pianta","/ˈpjan.ta/","A1;Noun",""
"round","giro","/ˈdʒiː.ro/","A1;Noun",""
"public","pubblico","/ˈpub.bli.ko/","A1;Noun",""
"car","automobile","/au.to.ˈmɔː.bi.le/","A1;Noun",""
"seat","sede","/ˈseː.de/","A1;Noun",""
"act","atto","/ˈat.to/","A1;Noun",""
"deal","affare","/afˈfaː.re/","A1;Noun",""
"age","età","/eˈta/","A1;Noun",""
"half","metà","/meˈta/","A1;Noun",""
"luck","fortuna","/forˈtuː.na/","A1;Noun",""
"Pope","papà","/paˈpa/","A1;Noun",""
"party","partito","/parˈtiː.to/","A1;Noun",""
"fight","lotta","/ˈlot.ta/","A1;Noun",""
"machine","macchina","/ˈmak.ki.na/","A1;Noun",""
"market","mercato","/merˈkaː.to/","A1;Noun",""
"minute","minuto","/miˈnuː.to/","A1;Noun",""
"company","compagnia","/kom.paɲˈɲiː.a/","A1;Noun",""
"stretch","tratto","/ˈtrat.to/","A1;Noun",""
"expression","espressione","/es.presˈsjoː.ne/","A1;Noun",""
"brother","fratello","/fraˈtel.lo/","A1;Noun",""
"desire","desiderio","/de.ziˈdɛː.rjo/","A1;Noun",""
"pleasure","piacere","/pjaˈtʃeː.re/","A1;Noun",""
"courage","coraggio","/koˈrad.dʒo/","A1;Noun",""
"master","maestro","/maˈɛs.tro/","A1;Noun",""
"director","direttore","/di.retˈtoː.re/","A1;Noun",""
"afternoon","pomeriggio","/po.meˈrid.dʒo/","A1;Noun",""
"degree","grado","/ˈgraː.do/","A1;Noun",""
"side","fianco","/ˈfjaŋ.ko/","A1;Noun",""
"master","padrone","/paˈdroː.ne/","A1;Noun",""
"child","bambina","/bamˈbiː.na/","A1;Noun",""
"reply","risposta","/risˈpɔs.ta/","A1;Noun",""
"table","tavola","/ˈtaː.vo.la/","A1;Noun",""
"cross","croce","/ˈkroː.tʃe/","A1;Noun",""
"image","immagine","/imˈmaː.dʒi.ne/","A1;Noun",""
"decision","decisione","/de.tʃi.ˈzjoː.ne/","A1;Noun",""
"mountain","montagna","/monˈtaɲ.ɲa/","A1;Noun",""
"poetry","poesia","/po.e.ˈziː.a/","A1;Noun",""
"power","energia","/e.nerˈdʒiː.a/","A1;Noun",""
"confidence","fiducia","/fiˈduː.tʃa/","A1;Noun",""
"wedding ring filo","fede","/ˈfeː.de/","A1;Noun",""
"bread","pane","/ˈpaː.ne/","A1;Noun",""
"crowd","folla","/ˈfol.la/","A1;Noun",""
"following","seguito","/seˈɡwiː.to/","A1;Noun",""
"quality","qualità","/kwa.liˈta/","A1;Noun",""
"summer","estate","/esˈtaː.te/","A1;Noun",""
"stuff","roba","","A1;Noun",""
"movie","film","","A1;Noun",""
"knowledge","conoscenza","","A1;Noun",""
"fruit","frutto","","A1;Noun",""
"favor","favore","","A1;Noun",""
"honor","onore","","A1;Noun",""
"population","popolazione","","A1;Noun",""
"danger","pericolo","","A1;Noun",""
"tool","strumento","","A1;Noun",""
"writer","scrittore","","A1;Noun",""
"use","uso","","A1;Noun",""
"hill","collina","","A1;Noun",""
"dress","vestito","","A1;Noun",""
"uncle","zio","","A1;Noun",""
"business","commercio","","A1;Noun",""
"defence","difesa","","A1;Noun",""
"factory","fabbrica","","A1;Noun",""
"meter","metro","","A1;Noun",""
"June","giugno","","A1;Noun",""
"neck","collo","","A1;Noun",""
"justice","giustizia","","A1;Noun",""
"care","cura","","A1;Noun",""
"lawyer","avvocato","","A1;Noun",""
"layout","disposizione","","A1;Noun",""
"mass","messa","","A1;Noun",""
"Sunday","Domenica","","A1;Noun",""
"ear","orecchio","","A1;Noun",""
"young man","giovanotto","","A1;Noun",""
"sleep","sonno","","A1;Noun",""
"poet","poeta","","A1;Noun",""
"congress","congresso","","A1;Noun",""
"season","stagione","","A1;Noun",""
"port","porto","","A1;Noun",""
"weight","peso","","A1;Noun",""
"football","calcio","","A1;Noun",""
"tone","tono","","A1;Noun",""
"fantasy","fantasia","","A1;Noun",""
"attitude","atteggiamento","","A1;Noun",""
"this","questo","","A1;Adjective",""
"good","buono","","A1;Adjective",""
"one","quello","","A1;Adjective",""
"your","tuo","","A1;Adjective",""
"more","più","","A1;Adjective",""
"nobody","nessuno","","A1;Adjective",""
"all","tutto","","A1;Adjective",""
"any","alcuno","","A1;Adjective",""
"other","altro","","A1;Adjective",""
"last","ultimo","","A1;Adjective",""
"my","mio","","A1;Adjective",""
"old","vecchio","","A1;Adjective",""
"which","quale","","A1;Adjective",""
"small","piccolo","","A1;Adjective",""
"much","tanto","","A1;Adjective",""
"too much","troppo","","A1;Adjective",""
"great","grande","","A1;Adjective",""
"such","tale","","A1;Adjective",""
"little","poco","","A1;Adjective",""
"young","giovane","","A1;Adjective",""
"very","molto","","A1;Adjective",""
"tall","alto","","A1;Adjective",""
"our","nostro","","A1;Adjective",""
"your","vostro","","A1;Adjective",""
"same","stesso","","A1;Adjective",""
"different","diverso","","A1;Adjective",""
"first","primo","","A1;Adjective",""
"better","meglio","","A1;Adjective",""
"their","loro","","A1;Adjective",""
"long","lungo","","A1;Adjective",""
"every","ogni","","A1;Adjective",""
"poor","povero","","A1;Adjective",""
"own","proprio","","A1;Adjective",""
"greater","maggiore","","A1;Adjective",""
"only","solo","","A1;Adjective",""
"how much","quanto","","A1;Adjective",""
"second","secondo","","A1;Adjective",""
"beautiful","bello","","A1;Adjective",""
"far","lontano","","A1;Adjective",""
"some","qualche","","A1;Adjective",""
"close","vicino","","A1;Adjective",""
"new","nuovo","","A1;Adjective",""
"possible","possibile","","A1;Adjective",""
"of course","certo","","A1;Adjective",""
"Dear","caro","","A1;Adjective",""
"true","vero","","A1;Adjective",""
"full","pieno","","A1;Adjective",""
"black","nero","","A1;Adjective",""
"careful","attento","","A1;Adjective",""
"white","bianco","","A1;Adjective",""
"thin","sottile","","A1;Adjective",""
"strong","forte","","A1;Adjective",""
"sad","triste","","A1;Adjective",""
"current","attuale","","A1;Adjective",""
"private","privato","","A1;Adjective",""
"Latin","current","","A1;Adjective",""
"rapid","rapido","","A1;Adjective",""
"pure","puro","","A1;Adjective",""
"noble","nobile","","A1;Adjective",""
"crazy","pazzo","","A1;Adjective",""
"continuous","continuo","","A1;Adjective",""
"electric","elettrico","","A1;Adjective",""
"stupid","stupido","","A1;Adjective",""
"absolute","assoluto","","A1;Adjective",""
"Grey","grigio","","A1;Adjective",""
"ancient","antico","","A1;Adjective",""
"real","reale","","A1;Adjective",""
"red","rosso","","A1;Adjective",""
"religious","religioso","","A1;Adjective",""
"sure","sicuro","","A1;Adjective",""
"official","ufficiale","","A1;Adjective",""
"quite right","giusto","","A1;Adjective",""
"French","francese","","A1;Adjective",""
"abroad","estero","","A1;Adjective",""
"pricipale","pricipale","","A1;Adjective",""
"rich","ricco","","A1;Adjective",""
"green","verde","","A1;Adjective",""
"necessary","necessario","","A1;Adjective",""
"human","umano","","A1;Adjective",""
"free","libero","","A1;Adjective",""
"useless","inutile","","A1;Adjective",""
"simple","semplice","","A1;Adjective",""
"similar","simile","","A1;Adjective",""
"common","comune","","A1;Adjective",""
"American","americano","","A1;Adjective",""
"happy","felice","","A1;Adjective",""
"quiet","tranquillo","","A1;Adjective",""
"difficult","difficile","","A1;Adjective",""
"happy","contento","","A1;Adjective",""
"short","breve","","A1;Adjective",""
"higher","superiore","","A1;Adjective",""
"best","migliore","","A1;Adjective",""
"dark","buio","","A1;Adjective",""
"hot","caldo","","A1;Adjective",""
"next one","prossimo","","A1;Adjective",""
"deep","profondo","","A1;Adjective",""
"citizen","cittadino","","A1;Adjective",""
"social","sociale","","A1;Adjective",""
"right","destro","","A1;Adjective",""
"bad","cattivo","","A1;Adjective",""
"European","europeo","","A1;Adjective",""
"maximum","massimo","","A1;Adjective",""
"quiet","zitto","","A1;Adjective",""
"full","intero","","A1;Adjective",""
"average","medio","","A1;Adjective",""
"equal","uguale","","A1;Adjective",""
"whatever","qualunque","","A1;Adjective",""
"good boy","bravo","","A1;Adjective",""
"extraordinary","straordinario","","A1;Adjective",""
"ugly","brutto","","A1;Adjective",""
"naked","nudo","","A1;Adjective",""
"accurate","preciso","","A1;Adjective",""
"future","futuro","","A1;Adjective",""
"any","qualsiasi","","A1;Adjective",""
"Catholic","cattolico","","A1;Adjective",""
"sudden","improvviso","","A1;Adjective",""
"able","capace","","A1;Adjective",""
"famous","famoso","","A1;Adjective",""
"industrial","industriale","","A1;Adjective",""
"foreigner","straniero","","A1;Adjective",""
"staff","personale","","A1;Adjective",""
"civil","civile","","A1;Adjective",""
"central","centrale","","A1;Adjective",""
"international","internazionale","","A1;Adjective",""
"technical","tecnico","","A1;Adjective",""
"internal","interno","","A1;Adjective",""
"sweet","dolce","","A1;Adjective",""
"extensive","vasto","","A1;Adjective",""
"light","leggero","","A1;Adjective",""
"secret","segreto","","A1;Adjective",""
"moral","morale","","A1;Adjective",""
"Greek","greco","","A1;Adjective",""
"helpful","utile","","A1;Adjective",""
"natural","naturale","","A1;Adjective",""
"contrary","contrario","","A1;Adjective",""
"left","sinistro","","A1;Adjective",""
"special","speciale","","A1;Adjective",""
"hard","duro","","A1;Adjective",""
"worse","peggio","","A1;Adjective",""
"tired","stanco","","A1;Adjective",""
"lower","minore","","A1;Adjective",""
"light blue","azzurro","","A1;Adjective",""
"farmer","contadino","","A1;Adjective",""
"to be","essere","","A1;Verb",""
"to seem, to look like","sembrare","","A1;Verb",""
"to have","avere","","A1;Verb",""
"to keep","tenere","","A1;Verb",""
"to say","dire","","A1;Verb",""
"to understand","capire","","A1;Verb",""
"can","potere","","A1;Verb",""
"to die","morire","","A1;Verb",""
"want","volere","","A1;Verb",""
"to call","chiamare","","A1;Verb",""
"to know","sapere","","A1;Verb",""
"to know","conoscere","","A1;Verb",""
"to stay","stare","","A1;Verb",""
"to stay","rimanere","","A1;Verb",""
"must","dovere","","A1;Verb",""
"to ask","chiedere","","A1;Verb",""
"to see","vedere","","A1;Verb",""
