"English","Italian","IPA","Tags","Notes"
"Bean Sauce","Salsa di fagioli","ˈsal.sa di faˈdʒɔːli","sauce","A hearty sauce made with beans."
"Chickpea Sauce","Salsa di ceci","ˈsal.sa di ˈtʃe.tʃi","sauce","A creamy and nutty sauce made with chickpeas."
"Lentil Sauce","Salsa di lenticchie","ˈsal.sa di lenˈtik.kje","sauce","A protein-rich sauce made with lentils."
"Pea Sauce","Salsa di piselli","ˈsal.sa di piˈzɛl.li","sauce","A sweet and creamy sauce made with peas."
"Potato Sauce","Salsa di patate","ˈsal.sa di paˈtaːte","sauce","A thick and hearty sauce made with potatoes."
"Avocado Sauce","Salsa di avocado","ˈsal.sa di avoˈkaːdo","sauce","A creamy and rich sauce made with avocados."
"Mango Sauce","Salsa di mango","ˈsal.sa di ˈman.ɡo","sauce","A sweet and tangy sauce made with mangoes."
"Strawberry Sauce","Salsa di fragole","ˈsal.sa di ˈfraːɡo.le","sauce","A sweet and fruity sauce made with strawberries."
"Lemon and Honey Sauce","Salsa di limone e miele","ˈsal.sa di liˈmo.ne e ˈmjɛ.le","sauce","A tangy and sweet sauce made with lemon and honey."
"Yogurt and Cucumber Sauce","Salsa di yogurt e cetriolo","ˈsal.sa di ˈjo.ɡurt e tʃe.triˈoːlo","sauce","A refreshing sauce made with yogurt and cucumber."
