"English","Italian","IPA","Tags"
"It's 5:30.","Sono le cinque e mezza.","[ˈsono le ˈtʃiŋkwe e ˈmɛddza]","Talking_Time"
"It's 5:45.","Sono le sei meno un quarto.","[ˈsono le ˈsɛi ˈmeno un ˈkwarto]","Talking_Time"
"It's 6:15.","Sono le sei e un quarto.","[ˈsono le ˈsɛi e un ˈkwarto]","Talking_Time"
"It's 6:30.","Sono le sei e mezza.","[ˈsono le ˈsɛi e ˈmɛddza]","Talking_Time"
"It's 6:45.","Sono le sette meno un quarto.","[ˈsono le ˈsɛtte ˈmeno un ˈkwarto]","Talking_Time"
"It's 7:15.","Sono le sette e un quarto.","[ˈsono le ˈsɛtte e un ˈkwarto]","Talking_Time"
"It's 7:30.","Sono le sette e mezza.","[ˈsono le ˈsɛtte e ˈmɛddza]","Talking_Time"
"It's 7:45.","Sono le otto meno un quarto.","[ˈsono le ˈɔtto ˈmeno un ˈkwarto]","Talking_Time"
"It's 8:15.","Sono le otto e un quarto.","[ˈsono le ˈɔtto e un ˈkwarto]","Talking_Time"
"It's 8:30.","Sono le otto e mezza.","[ˈsono le ˈɔtto e ˈmɛddza]","Talking_Time"
"It's 8:45.","Sono le nove meno un quarto.","[ˈsono le ˈnɔve ˈmeno un ˈkwarto]","Talking_Time"
"It's 9:15.","Sono le nove e un quarto.","[ˈsono le ˈnɔve e un ˈkwarto]","Talking_Time"
"It's 9:30.","Sono le nove e mezza.","[ˈsono le ˈnɔve e ˈmɛddza]","Talking_Time"
"It's 9:45.","Sono le dieci meno un quarto.","[ˈsono le ˈdjɛtʃi ˈmeno un ˈkwarto]","Talking_Time"
"It's 10:15.","Sono le dieci e un quarto.","[ˈsono le ˈdjɛtʃi e un ˈkwarto]","Talking_Time"
"It's 10:30.","Sono le dieci e mezza.","[ˈsono le ˈdjɛtʃi e ˈmɛddza]","Talking_Time"
"It's 10:45.","Sono le undici meno un quarto.","[ˈsono le ˈunditʃi ˈmeno un ˈkwarto]","Talking_Time"
"It's 11:15.","Sono le undici e un quarto.","[ˈsono le ˈunditʃi e un ˈkwarto]","Talking_Time"
"It's 11:30.","Sono le undici e mezza.","[ˈsono le ˈunditʃi e ˈmɛddza]","Talking_Time"
"It's 11:45.","Sono le dodici meno un quarto.","[ˈsono le ˈdɔditʃi ˈmeno un ˈkwarto]","Talking_Time"
"It's 12:15.","Sono le dodici e un quarto.","[ˈsono le ˈdɔditʃi e un ˈkwarto]","Talking_Time"
"It's 12:30.","Sono le dodici e mezza.","[ˈsono le ˈdɔditʃi e ˈmɛddza]","Talking_Time"
"It's 13:00.","Sono le tredici.","[ˈsono le ˈtreditʃi]","Talking_Time"
"It's 13:15.","Sono le tredici e un quarto.","[ˈsono le ˈtreditʃi e un ˈkwarto]","Talking_Time"
"It's 13:30.","Sono le tredici e mezza.","[ˈsono le ˈtreditʃi e ˈmɛddza]","Talking_Time"
"It's 13:45.","Sono le quattordici meno un quarto.","[ˈsono le kwattorˈditʃi ˈmeno un ˈkwarto]","Talking_Time"
"It's 14:00.","Sono le quattordici.","[ˈsono le kwattorˈditʃi]","Talking_Time"
"It's 14:15.","Sono le quattordici e un quarto.","[ˈsono le kwattorˈditʃi e un ˈkwarto]","Talking_Time"
"It's 14:30.","Sono le quattordici e mezza.","[ˈsono le kwattorˈditʃi e ˈmɛddza]","Talking_Time"
"It's 14:45.","Sono le quindici meno un quarto.","[ˈsono le ˈkwinditʃi ˈmeno un ˈkwarto]","Talking_Time"
"It's 15:00.","Sono le quindici.","[ˈsono le ˈkwinditʃi]","Talking_Time"
"It's 15:15.","Sono le quindici e un quarto.","[ˈsono le ˈkwinditʃi e un ˈkwarto]","Talking_Time"
"It's 15:30.","Sono le quindici e mezza.","[ˈsono le ˈkwinditʃi e ˈmɛddza]","Talking_Time"
"It's 15:45.","Sono le sedici meno un quarto.","[ˈsono le ˈseditʃi ˈmeno un ˈkwarto]","Talking_Time"
"It's 16:00.","Sono le sedici.","[ˈsono le ˈseditʃi]","Talking_Time"
"It's 16:15.","Sono le sedici e un quarto.","[ˈsono le ˈseditʃi e un ˈkwarto]","Talking_Time"
"It's 16:30.","Sono le sedici e mezza.","[ˈsono le ˈseditʃi e ˈmɛddza]","Talking_Time"
"It's 16:45.","Sono le diciassette meno un quarto.","[ˈsono le ditʃasˈsɛtte ˈmeno un ˈkwarto]","Talking_Time"
"It's 17:00.","Sono le diciassette.","[ˈsono le ditʃasˈsɛtte]","Talking_Time"
"It's 17:15.","Sono le diciassette e un quarto.","[ˈsono le ditʃasˈsɛtte e un ˈkwarto]","Talking_Time"
"It's 17:30.","Sono le diciassette e mezza.","[ˈsono le ditʃasˈsɛtte e ˈmɛddza]","Talking_Time"
"It's 17:45.","Sono le diciotto meno un quarto.","[ˈsono le ditʃiˈɔtto ˈmeno un ˈkwarto]","Talking_Time"
"It's 18:00.","Sono le diciotto.","[ˈsono le ditʃiˈɔtto]","Talking_Time"
"It's 18:15.","Sono le diciotto e un quarto.","[ˈsono le ditʃiˈɔtto e un ˈkwarto]","Talking_Time"
"It's 18:30.","Sono le diciotto e mezza.","[ˈsono le ditʃiˈɔtto e ˈmɛddza]","Talking_Time"
"It's 18:45.","Sono le diciannove meno un quarto.","[ˈsono le ditʃanˈnɔve ˈmeno un ˈkwarto]","Talking_Time"
"It's 19:00.","Sono le diciannove.","[ˈsono le ditʃanˈnɔve]","Talking_Time"
"It's 19:15.","Sono le diciannove e un quarto.","[ˈsono le ditʃanˈnɔve e un ˈkwarto]","Talking_Time"
"It's 19:30.","Sono le diciannove e mezza.","[ˈsono le ditʃanˈnɔve e ˈmɛddza]","Talking_Time"
"It's 19:45.","Sono le venti meno un quarto.","[ˈsono le ˈventi ˈmeno un ˈkwarto]","Talking_Time"
"It's 20:00.","Sono le venti.","[ˈsono le ˈventi]","Talking_Time"
"It's 20:15.","Sono le venti e un quarto.","[ˈsono le ˈventi e un ˈkwarto]","Talking_Time"
"It's 20:30.","Sono le venti e mezza.","[ˈsono le ˈventi e ˈmɛddza]","Talking_Time"
"It's 20:45.","Sono le ventuno meno un quarto.","[ˈsono le venˈtuːno ˈmeno un ˈkwarto]","Talking_Time"
"It's 21:00.","Sono le ventuno.","[ˈsono le venˈtuːno]","Talking_Time"
"It's 21:15.","Sono le ventuno e un quarto.","[ˈsono le venˈtuːno e un ˈkwarto]","Talking_Time"
"It's 21:30.","Sono le ventuno e mezza.","[ˈsono le venˈtuːno e ˈmɛddza]","Talking_Time"
"It's 21:45.","Sono le ventidue meno un quarto.","[ˈsono le ventiˈdue ˈmeno un ˈkwarto]","Talking_Time"
"It's 22:00.","Sono le ventidue.","[ˈsono le ventiˈdue]","Talking_Time"
"It's 22:15.","Sono le ventidue e un quarto.","[ˈsono le ventiˈdue e un ˈkwarto]","Talking_Time"
"It's 22:30.","Sono le ventidue e mezza.","[ˈsono le ventiˈdue e ˈmɛddza]","Talking_Time"
"It's 22:45.","Sono le ventitré meno un quarto.","[ˈsono le ventiˈtrɛ ˈmeno un ˈkwarto]","Talking_Time"
"It's 23:00.","Sono le ventitré.","[ˈsono le ventiˈtrɛ]","Talking_Time"
"It's 23:15.","Sono le ventitré e un quarto.","[ˈsono le ventiˈtrɛ e un ˈkwarto]","Talking_Time"
"It's 23:30.","Sono le ventitré e mezza.","[ˈsono le ventiˈtrɛ e ˈmɛddza]","Talking_Time"
"It's 23:45.","Sono le ventiquattro meno un quarto.","[ˈsono le ventiˈkwattro ˈmeno un ˈkwarto]","Talking_Time"
"It's 24:00.","Sono le ventiquattro.","[ˈsono le ventiˈkwattro]","Talking_Time"
"It's 24:15.","Sono le ventiquattro e un quarto.","[ˈsono le ventiˈkwattro e un ˈkwarto]","Talking_Time"
"It's 24:30.","Sono le ventiquattro e mezza.","[ˈsono le ventiˈkwattro e ˈmɛddza]","Talking_Time"
"A moment ago.","Poco fa.","[ˈpɔːko fa]","Talking_Time"
"In a little while.","Tra poco.","[tra ˈpɔːko]","Talking_Time"
"Late.","Tardi.","[ˈtardi]","Talking_Time"
"Early/Soon.","Presto.","[ˈprɛsto]","Talking_Time"
"Out of time.","Fuori tempo.","[ˈfwɔri ˈtɛmpo]","Talking_Time"
"Time flies.","Il tempo vola.","[il ˈtɛmpo ˈvoːla]","Talking_Time"
"In the nick of time.","Giusto in tempo.","[ˈdʒusto in ˈtɛmpo]","Talking_Time"
"Ahead of time.","In anticipo.","[in anˈtiːtʃipo]","Talking_Time"
"Around 3pm.","Verso le tre.","[ˈvɛrso le ˈtre]","Talking_Time"
"I eat at 1pm.","Mangio all'una.","[ˈmandʒo alˈluːna]","Talking_Time"
"I go to bed at 10.","Vado a dormire alle dieci.","[ˈvaːdo a dorˈmire ˈalle ˈdjɛtʃi]","Talking_Time"
"I wake up at 7.","Mi sveglio alle sette.","[mi ˈzvɛʎʎo ˈalle ˈsɛtte]","Talking_Time"
"I'll see you at 5 o'clock.","Ci vediamo alle cinque.","[tʃi veˈdjaːmo ˈalle ˈtʃiŋkwe]","Talking_Time"
"Let's meet around noon.","Ci vediamo verso mezzogiorno.","[tʃi veˈdjaːmo ˈvɛrso ˌmɛddzoˈdʒorno]","Talking_Time"
"Do you know what time it is?","Sai che ore sono?","[sai ke ˈoːre ˈsono]","Talking_Time"
"What time do you go to sleep?","A che ora vai a dormire?","[a ke ˈoːra ˈvai a dorˈmire]","Talking_Time"
"What time is it?","Che ore sono?","[ke ˈoːre ˈsono]","Talking_Time"
"What time should we meet?","A che ora ci vediamo?","[a ke ˈoːra tʃi veˈdjaːmo]","Talking_Time"
"When does the bus arrive?","Quando arriva l'autobus?","[ˈkwando arˈriːva ˈlautubus]","Talking_Time"
"At 5:00.","Alle cinque.","[ˈalle ˈtʃiŋkwe]","Talking_Time"
"At 5 sharp.","Alle cinque in punto.","[ˈalle ˈtʃiŋkwe in ˈpunto]","Talking_Time"
"At 7:30.","Alle sette e mezza.","[ˈalle ˈsɛtte e ˈmɛddza]","Talking_Time"
"Alarm.","Sveglia.","[ˈzvɛʎʎa]","Talking_Time"
"Clock.","Orologio.","[oroˈlɔdʒo]","Talking_Time"
"Hour hand.","Lancetta delle ore.","[lanˈtʃetta ˈdɛlle ˈoːre]","Talking_Time"
"Minute hand.","Lancetta dei minuti.","[lanˈtʃetta dei miˈnuti]","Talking_Time"
"Timer.","Timer.","[ˈtaimer]","Talking_Time"
"Watch.","Orologio da polso.","[oroˈlɔdʒo da ˈpolso]","Talking_Time"
"It takes five minutes.","Ci vogliono cinque minuti.","[tʃi ˈvɔʎʎono ˈtʃiŋkwe miˈnuti]","Talking_Time"
"It takes an hour.","Ci vuole un'ora.","[tʃi ˈvwɔle unˈoːra]","Talking_Time"
"For two hours.","Per due ore.","[per ˈduːe ˈoːre]","Talking_Time"
"In ten minutes.","Fra dieci minuti.","[fra ˈdjɛtʃi miˈnuti]","Talking_Time"
"Time is money.","Il tempo è denaro.","[il ˈtɛmpo ɛ deˈnaːro]","Talking_Time"
"Only time will tell.","Solo il tempo lo dirà.","[ˈsolo il ˈtɛmpo lo diˈra]","Talking_Time"
"Time heals all wounds.","Il tempo guarisce tutte le ferite.","[il ˈtɛmpo gwaˈriʃʃe ˈtutte le feˈrite]","Talking_Time"
"Over time.","Col tempo.","[kol ˈtɛmpo]","Talking_Time"
"Once upon a time.","C’era una volta.","[ˈtʃɛra ˈuna ˈvolta]","Talking_Time"
"As time goes by.","Col passare del tempo.","[kol pasˈsaːre del ˈtɛmpo]","Talking_Time"
"Wasting time.","Perdere tempo.","[ˈpɛrderɛ ˈtɛmpo]","Talking_Time"
"To make time for something.","Trovare il tempo per qualcosa.","[troˈvaːre il ˈtɛmpo per kwalˈkoːza]","Talking_Time"
"To run out of time.","Rimanere senza tempo.","[rimaˈnɛre ˈsɛntsa ˈtɛmpo]","Talking_Time"
"Borrowed time.","Tempo preso in prestito.","[ˈtɛmpo ˈprezo in ˈprɛstito]","Talking_Time"
"How long will it take?","Quanto ci vorrà?","[ˈkwanto tʃi vorˈra]","Talking_Time"
"It won’t take long.","Non ci vorrà molto.","[non tʃi vorˈra ˈmolto]","Talking_Time"
"It takes too long.","Ci vuole troppo tempo.","[tʃi ˈvwɔle ˈtrɔppo ˈtɛmpo]","Talking_Time"
"It takes less than an hour.","Ci vuole meno di un’ora.","[tʃi ˈvwɔle ˈmeno di unˈoːra]","Talking_Time"
"It takes about an hour.","Ci vuole circa un’ora.","[tʃi ˈvwɔle ˈtʃirka unˈoːra]","Talking_Time"
"It takes forever.","Ci vuole un’eternità.","[tʃi ˈvwɔle uneˈtɛrnita]","Talking_Time"
"In the meantime.","Nel frattempo.","[nel fratˈtɛmpo]","Talking_Time"
"For the time being.","Per il momento.","[per il moˈmento]","Talking_Time"
"By the time you arrive...","Quando arriverai…","[ˈkwando arriveˈrai]","Talking_Time"
"By tomorrow.","Entro domani.","[ˈɛntro doˈmaːni]","Talking_Time"
"By next week.","Entro la prossima settimana.","[ˈɛntro la ˈprɔssima settiˈmaːna]","Talking_Time"
"At the last minute.","All’ultimo minuto.","[alˈlultimo miˈnuto]","Talking_Time"
"Behind schedule.","In ritardo.","[in riˈtardo]","Talking_Time"
"Right on time.","Puntuale.","[punˈtwaːle]","Talking_Time"
"From time to time.","Di tanto in tanto.","[di ˈtanto in ˈtanto]","Talking_Time"
"Most of the time.","La maggior parte del tempo.","[la madˈdʒor ˈparte del ˈtɛmpo]","Talking_Time"
"All the time.","Sempre.","[ˈsɛmpre]","Talking_Time"
"Half the time.","Metà delle volte.","[meˈta dɛlle ˈvolte]","Talking_Time"
"Every now and then.","Ogni tanto.","[ˈoɲɲi ˈtanto]","Talking_Time"
"In no time.","In un attimo.","[in un ˈattimo]","Talking_Time"
"In a heartbeat.","In un batter d’occhio.","[in un ˈbatter ˈdɔkkjo]","Talking_Time"
"Before long.","Fra poco.","[fra ˈpɔːko]","Talking_Time"
"The time is up.","Il tempo è scaduto.","[il ˈtɛmpo ɛ skaˈduto]","Talking_Time"
"Wait a moment.","Aspetta un attimo.","[aˈspɛtta un ˈattimo]","Talking_Time"
"Give me a second.","Dammi un secondo.","[ˈdammi un seˈkondo]","Talking_Time"
"Hang on a minute.","Aspetta un minuto.","[aˈspɛtta un miˈnuto]","Talking_Time"
