"English","Italian","IPA","Tags","Notes"
"stepson","figliastro","fiʎˈʎastro","people","The son of one's spouse from a previous relationship"
"stranger","sconosciuto","skonoʃˈʃuːto","people","A person whom one does not know"
"strangers","sconosciuti","skonoʃˈʃuːti","people","Multiple people whom one does not know"
"team","squadra","ˈskwaːdra","people","A group of people working together"
"teams","squadre","ˈskwaːdre","people","Multiple groups of people working together"
"teenager","adolescente","adolesˈʃɛnte","people","A person aged between 13 and 19 years"
"teenagers","adolescenti","adolesˈʃɛnti","people","People aged between 13 and 19 years"
"wife","moglie","ˈmoʎʎe","people","A married woman in relation to her spouse"
"woman","donna","ˈdɔnna","people","An adult female human"
"women","donne","ˈdɔnne","people","Multiple adult female humans"

