term,votes,chosen
later,"{""Calendar & Time"": 5, ""Travel"": 4, ""Medical & Health"": 2, ""Events & Activities"": 1}",Numbers
laugh,"{""Calendar & Time"": 5, ""Travel"": 4, ""Medical & Health"": 2, ""Events & Activities"": 1}",Social
live,"{""Calendar & Time"": 5, ""Travel"": 2, ""Food"": 4, ""Opinions & Communication"": 3, ""Feelings & Emotions"": 1, ""Medical & Health"": 2}",Numbers
living,"{""Calendar & Time"": 5, ""Travel"": 2, ""Food"": 4, ""Opinions & Communication"": 3, ""Feelings & Emotions"": 1, ""Medical & Health"": 2}",Grammar
living,"{""Calendar & Time"": 5, ""Travel"": 2, ""Food"": 4, ""Opinions & Communication"": 3, ""Feelings & Emotions"": 1, ""Medical & Health"": 2}",Grammar
local,"{""Calendar & Time"": 5, ""Travel"": 2, ""Food"": 4, ""Opinions & Communication"": 3, ""Feelings & Emotions"": 1, ""Medical & Health"": 2}",Shopping
lonely,"{""Calendar & Time"": 5, ""Travel"": 2, ""Food"": 4, ""Opinions & Communication"": 3, ""Feelings & Emotions"": 1, ""Medical & Health"": 2}",Emotions
never,"{""Calendar & Time"": 1, ""Feelings & Emotions"": 1}",Numbers
next,"{""Calendar & Time"": 2, ""Medical & Health"": 2}",Numbers
next,"{""Calendar & Time"": 2, ""Medical & Health"": 2}",Numbers
nice,"{""Calendar & Time"": 2, ""Medical & Health"": 2}",Professional
night,"{""Calendar & Time"": 2, ""Medical & Health"": 2}",Numbers
nine,"{""Calendar & Time"": 2, ""Medical & Health"": 2}",Numbers
nineteen,"{""Calendar & Time"": 2, ""Medical & Health"": 2}",Numbers
ninety,"{""Calendar & Time"": 2, ""Medical & Health"": 2}",Numbers
no,"{""Calendar & Time"": 2, ""Medical & Health"": 2}",Social
no,"{""Calendar & Time"": 2, ""Medical & Health"": 2}",Social
nobody,"{""Calendar & Time"": 2, ""Medical & Health"": 2}",Social
noise,"{""Calendar & Time"": 2, ""Medical & Health"": 2}",Social
north,"{""Calendar & Time"": 2, ""Medical & Health"": 2}",Social
nose,"{""Calendar & Time"": 2, ""Medical & Health"": 2}",Numbers
off,"{""Social"": 3, ""Numbers & Quantities"": 1, ""Calendar & Time"": 3, ""Events & Activities"": 2}",Social
office,"{""Social"": 3, ""Numbers & Quantities"": 1, ""Calendar & Time"": 3, ""Events & Activities"": 2}",Professional
officer,"{""Social"": 3, ""Numbers & Quantities"": 1, ""Calendar & Time"": 3, ""Events & Activities"": 2}",Social
often,"{""Calendar & Time"": 1, ""Travel"": 2, ""Food"": 2}",Food
oh,"{""Calendar & Time"": 1, ""Travel"": 2, ""Food"": 2}",Professional
okay,"{""Calendar & Time"": 1, ""Travel"": 2, ""Food"": 2}",Social
old,"{""Calendar & Time"": 1, ""Travel"": 2, ""Food"": 2}",Numbers
on,"{""Numbers & Quantities"": 2, ""Calendar & Time"": 1, ""Events & Activities"": 1, ""Travel"": 2}",Travel
only,"{""Medical & Health"": 2, ""Travel"": 2, ""Calendar & Time"": 3}",Numbers
open,"{""Medical & Health"": 2, ""Travel"": 2, ""Calendar & Time"": 3}",Grammar
opera,"{""Medical & Health"": 2, ""Travel"": 2, ""Calendar & Time"": 3}",Social
opinion,"{""Medical & Health"": 2, ""Travel"": 2, ""Calendar & Time"": 3}",Social
opposite,"{""Medical & Health"": 2, ""Travel"": 2, ""Calendar & Time"": 3}",Social
or,"{""Medical & Health"": 2, ""Travel"": 2, ""Calendar & Time"": 3}",Social
orange,"{""Medical & Health"": 2, ""Travel"": 2, ""Calendar & Time"": 3}",Food
order,"{""Medical & Health"": 2, ""Travel"": 2, ""Calendar & Time"": 3}",Social
other,"{""Calendar & Time"": 2, ""Opinions & Communication"": 1, ""Numbers & Quantities"": 1}",Numbers
popular,"{""Food"": 2, ""Travel"": 2}",Food
positive,"{""Food"": 2, ""Travel"": 2}",Social
possible,"{""Food"": 2, ""Travel"": 2}",Social
post,"{""Food"": 2, ""Travel"": 2}",Social
poster,"{""Food"": 2, ""Travel"": 2}",Social
potato,"{""Food"": 2, ""Travel"": 2}",Food
pound,"{""Food"": 2, ""Travel"": 2}",Numbers
practice,"{""Food"": 2, ""Travel"": 2}",Grammar
practise,"{""Social"": 3, ""Travel"": 2, ""Opinions & Communication"": 3, ""Calendar & Time"": 1}",Social
rainy,"{""Food"": 2, ""Calendar & Time"": 1}",Food
rat,"{""Food"": 2, ""Calendar & Time"": 1}",Social
read,"{""Food"": 2, ""Calendar & Time"": 1}",Activities
reader,"{""Food"": 2, ""Calendar & Time"": 1}",Social
reading,"{""Food"": 2, ""Calendar & Time"": 1}",Social
ready,"{""Food"": 2, ""Calendar & Time"": 1}",Health
real,"{""Food"": 2, ""Calendar & Time"": 1}",Numbers
really,"{""Feelings & Emotions"": 1, ""Calendar & Time"": 1}",Emotions
reason,"{""Feelings & Emotions"": 1, ""Calendar & Time"": 1}",Social
red,"{""Feelings & Emotions"": 1, ""Calendar & Time"": 1}",Social
send,"{""Travel"": 10, ""Opinions & Communication"": 9, ""Events & Activities"": 1, ""Calendar & Time"": 1}",Travel
sentence,"{""Travel"": 10, ""Opinions & Communication"": 9, ""Events & Activities"": 1, ""Calendar & Time"": 1}",Numbers
set,"{""Travel"": 10, ""Opinions & Communication"": 9, ""Events & Activities"": 1, ""Calendar & Time"": 1}",Numbers
seven,"{""Travel"": 10, ""Opinions & Communication"": 9, ""Events & Activities"": 1, ""Calendar & Time"": 1}",Numbers
seventeen,"{""Travel"": 10, ""Opinions & Communication"": 9, ""Events & Activities"": 1, ""Calendar & Time"": 1}",Numbers
seventy,"{""Travel"": 10, ""Opinions & Communication"": 9, ""Events & Activities"": 1, ""Calendar & Time"": 1}",Numbers
shake,"{""Travel"": 10, ""Opinions & Communication"": 9, ""Events & Activities"": 1, ""Calendar & Time"": 1}",Food
share,"{""Travel"": 10, ""Opinions & Communication"": 9, ""Events & Activities"": 1, ""Calendar & Time"": 1}",Shopping
slow,"{""Travel"": 6, ""Medical & Health"": 2, ""Calendar & Time"": 5, ""Opinions & Communication"": 2}",Travel
small,"{""Travel"": 6, ""Medical & Health"": 2, ""Calendar & Time"": 5, ""Opinions & Communication"": 2}",Shopping
smart,"{""Travel"": 6, ""Medical & Health"": 2, ""Calendar & Time"": 5, ""Opinions & Communication"": 2}",Health
smell,"{""Travel"": 6, ""Medical & Health"": 2, ""Calendar & Time"": 5, ""Opinions & Communication"": 2}",Grammar
smile,"{""Travel"": 6, ""Medical & Health"": 2, ""Calendar & Time"": 5, ""Opinions & Communication"": 2}",Social
smith,"{""Travel"": 6, ""Medical & Health"": 2, ""Calendar & Time"": 5, ""Opinions & Communication"": 2}",Social
smoke,"{""Travel"": 6, ""Medical & Health"": 2, ""Calendar & Time"": 5, ""Opinions & Communication"": 2}",Social
smoking,"{""Travel"": 6, ""Medical & Health"": 2, ""Calendar & Time"": 5, ""Opinions & Communication"": 2}",Activities
snake,"{""Travel"": 6, ""Medical & Health"": 2, ""Calendar & Time"": 5, ""Opinions & Communication"": 2}",Social
snow,"{""Travel"": 6, ""Medical & Health"": 2, ""Calendar & Time"": 5, ""Opinions & Communication"": 2}",Social
sometimes,"{""Food"": 2, ""Calendar & Time"": 1}",Food
son,"{""Food"": 2, ""Calendar & Time"": 1}",Social
song,"{""Food"": 2, ""Calendar & Time"": 1}",Social
together,"{""Feelings & Emotions"": 1, ""Calendar & Time"": 1, ""Numbers & Quantities"": 1}",Emotions
toilet,"{""Feelings & Emotions"": 1, ""Calendar & Time"": 1, ""Numbers & Quantities"": 1}",Shopping
tomato,"{""Feelings & Emotions"": 1, ""Calendar & Time"": 1, ""Numbers & Quantities"": 1}",Food
tomorrow,"{""Feelings & Emotions"": 1, ""Calendar & Time"": 1, ""Numbers & Quantities"": 1}",Numbers
tonight,"{""Feelings & Emotions"": 1, ""Calendar & Time"": 1, ""Numbers & Quantities"": 1}",Numbers
up,"{""Food"": 2, ""Events & Activities"": 1, ""Calendar & Time"": 2, ""Opinions & Communication"": 1}",Food
upstairs,"{""Food"": 2, ""Events & Activities"": 1, ""Calendar & Time"": 2, ""Opinions & Communication"": 1}",Activities
us,"{""Food"": 2, ""Events & Activities"": 1, ""Calendar & Time"": 2, ""Opinions & Communication"": 1}",Social
use,"{""Food"": 2, ""Events & Activities"": 1, ""Calendar & Time"": 2, ""Opinions & Communication"": 1}",Abstract
very,"{""Calendar & Time"": 2, ""Feelings & Emotions"": 1}",Numbers
video,"{""Calendar & Time"": 2, ""Feelings & Emotions"": 1}",Social
village,"{""Calendar & Time"": 2, ""Feelings & Emotions"": 1}",Professional
visit,"{""Calendar & Time"": 2, ""Feelings & Emotions"": 1}",Professional
visitor,"{""Calendar & Time"": 2, ""Feelings & Emotions"": 1}",Social
volleyball,"{""Calendar & Time"": 2, ""Feelings & Emotions"": 1}",Shopping
vote,"{""Calendar & Time"": 2, ""Feelings & Emotions"": 1}",Grammar
wait,"{""Calendar & Time"": 2, ""Feelings & Emotions"": 1}",Numbers
waiter,"{""Calendar & Time"": 2, ""Feelings & Emotions"": 1}",Social
waitress,"{""Calendar & Time"": 2, ""Feelings & Emotions"": 1}",Social
wake,"{""Calendar & Time"": 2, ""Feelings & Emotions"": 1}",Professional
walk,"{""Calendar & Time"": 2, ""Feelings & Emotions"": 1}",Activities
wall,"{""Calendar & Time"": 2, ""Feelings & Emotions"": 1}",Shopping
want,"{""Calendar & Time"": 2, ""Feelings & Emotions"": 1}",Health
war,"{""Calendar & Time"": 2, ""Feelings & Emotions"": 1}",Health
were,"{""Calendar & Time"": 3, ""Social"": 3, ""Food"": 2}",Social
west,"{""Calendar & Time"": 3, ""Social"": 3, ""Food"": 2}",Social
wonderful,"{""Travel"": 2, ""Food"": 2}",Food
word,"{""Travel"": 2, ""Food"": 2}",Numbers
work,"{""Travel"": 2, ""Food"": 2}",Professional
worker,"{""Travel"": 2, ""Food"": 2}",Social
world,"{""Travel"": 2, ""Food"": 2}",Grammar
worry,"{""Travel"": 2, ""Food"": 2}",Grammar
yet,"{""Calendar & Time"": 3, ""Food"": 2, ""Feelings & Emotions"": 1, ""Travel"": 2}",Numbers
yogurt,"{""Calendar & Time"": 3, ""Food"": 2, ""Feelings & Emotions"": 1, ""Travel"": 2}",Food
adjust,"{""Travel"": 2, ""Opinions & Communication"": 3}",Social
ahead,"{""Calendar & Time"": 3, ""Travel"": 2, ""Events & Activities"": 1}",Numbers
airline,"{""Calendar & Time"": 3, ""Travel"": 2, ""Events & Activities"": 1}",Shopping
aisle,"{""Calendar & Time"": 3, ""Travel"": 2, ""Events & Activities"": 1}",Shopping
alarm,"{""Calendar & Time"": 3, ""Travel"": 2, ""Events & Activities"": 1}",Social
alarm,"{""Calendar & Time"": 3, ""Travel"": 2, ""Events & Activities"": 1}",Social
alive,"{""Medical & Health"": 2, ""Feelings & Emotions"": 1, ""Numbers & Quantities"": 1}",Health
amused,"{""Social"": 3, ""Opinions & Communication"": 3}",Social
amusement,"{""Social"": 3, ""Opinions & Communication"": 3}",Emotions
ancestor,"{""Social"": 3, ""Opinions & Communication"": 3}",Social
ancient,"{""Social"": 3, ""Opinions & Communication"": 3}",Social
angel,"{""Social"": 3, ""Opinions & Communication"": 3}",Social
any,"{""Travel"": 2, ""Calendar & Time"": 1}",Travel
anyway,"{""Events & Activities"": 1, ""Opinions & Communication"": 1}",Activities
apart,"{""Travel"": 2, ""Calendar & Time"": 3, ""Numbers & Quantities"": 1, ""Opinions & Communication"": 2, ""Feelings & Emotions"": 1}",Numbers
appear,"{""Food"": 4, ""Calendar & Time"": 3, ""Social"": 3}",Food
appearance,"{""Food"": 4, ""Calendar & Time"": 3, ""Social"": 3}",Grammar
awful,"{""Medical & Health"": 4, ""Opinions & Communication"": 3, ""Travel"": 2, ""Feelings & Emotions"": 3, ""Numbers & Quantities"": 2, ""Food"": 2}",Health
background,"{""Medical & Health"": 4, ""Opinions & Communication"": 3, ""Travel"": 2, ""Feelings & Emotions"": 3, ""Numbers & Quantities"": 2, ""Food"": 2}",Grammar
based,"{""Opinions & Communication"": 3, ""Numbers & Quantities"": 2, ""Food"": 3, ""Travel"": 2}",Food
basic,"{""Opinions & Communication"": 3, ""Numbers & Quantities"": 2, ""Food"": 3, ""Travel"": 2}",Social
been,"{""Calendar & Time"": 3, ""Social"": 3, ""Food"": 2}",Social
belong,"{""Travel"": 2, ""Events & Activities"": 1}",Travel
belt,"{""Travel"": 2, ""Events & Activities"": 1}",Shopping
bench,"{""Travel"": 2, ""Events & Activities"": 1}",Shopping
bend,"{""Travel"": 2, ""Events & Activities"": 1}",Shopping
benefit,"{""Travel"": 2, ""Events & Activities"": 1}",Social
besides,"{""Food"": 2, ""Calendar & Time"": 1}",Food
brilliant,"{""Opinions & Communication"": 1, ""Events & Activities"": 1}",Social
budget,"{""Opinions & Communication"": 1, ""Events & Activities"": 1}",Shopping
bug,"{""Opinions & Communication"": 1, ""Events & Activities"": 1}",Shopping
bulb,"{""Opinions & Communication"": 1, ""Events & Activities"": 1}",Shopping
burn,"{""Opinions & Communication"": 1, ""Events & Activities"": 1}",Health
bury,"{""Social"": 3, ""Calendar & Time"": 1, ""Opinions & Communication"": 3}",Social
bus,"{""Social"": 3, ""Calendar & Time"": 1, ""Opinions & Communication"": 3}",Travel
bus,"{""Social"": 3, ""Calendar & Time"": 1, ""Opinions & Communication"": 3}",Travel
bush,"{""Social"": 3, ""Calendar & Time"": 1, ""Opinions & Communication"": 3}",Social
businessman,"{""Social"": 3, ""Calendar & Time"": 1, ""Opinions & Communication"": 3}",Social
businesswoman,"{""Social"": 3, ""Calendar & Time"": 1, ""Opinions & Communication"": 3}",Social
cab,"{""Social"": 3, ""Calendar & Time"": 1, ""Opinions & Communication"": 3}",Shopping
cafeteria,"{""Social"": 3, ""Calendar & Time"": 1, ""Opinions & Communication"": 3}",Shopping
calendar,"{""Social"": 3, ""Calendar & Time"": 1, ""Opinions & Communication"": 3}",Numbers
camping,"{""Social"": 3, ""Calendar & Time"": 1, ""Opinions & Communication"": 3}",Activities
campus,"{""Social"": 3, ""Calendar & Time"": 1, ""Opinions & Communication"": 3}",Professional
capital,"{""Social"": 3, ""Calendar & Time"": 1, ""Opinions & Communication"": 3}",Social
captain,"{""Social"": 3, ""Calendar & Time"": 1, ""Opinions & Communication"": 3}",Social
car,"{""Social"": 3, ""Calendar & Time"": 1, ""Opinions & Communication"": 3}",Travel
