"English","Italian","IPA"
"It's 16:15.","Sono le 16 e un quarto.","[ˈsono le ˈseditʃi e un ˈkwarto]"
"It's 16:30.","Sono le 16 e mezza.","[ˈsono le ˈseditʃi e ˈmɛddza]"
"It's 16:45.","Sono le 17 meno un quarto.","[ˈsono le ditʃasˈsɛtte ˈmeno un ˈkwarto]"
"It's 17:00.","Sono le 17.","[ˈsono le ditʃasˈsɛtte]"
"It's 17:15.","Sono le 17 e un quarto.","[ˈsono le ditʃasˈsɛtte e un ˈkwarto]"
"It's 17:30.","Sono le 17 e mezza.","[ˈsono le ditʃasˈsɛtte e ˈmɛddza]"
"It's 17:45.","Sono le 18 meno un quarto.","[ˈsono le ditʃiˈɔtto ˈmeno un ˈkwarto]"
"It's 18:00.","Sono le 18.","[ˈsono le ditʃiˈɔtto]"
"It's 18:15.","Sono le 18 e un quarto.","[ˈsono le ditʃiˈɔtto e un ˈkwarto]"
"It's 18:30.","Sono le 18 e mezza.","[ˈsono le ditʃiˈɔtto e ˈmɛddza]"
"It's 18:45.","Sono le 19 meno un quarto.","[ˈsono le ditʃanˈnɔve ˈmeno un ˈkwarto]"
"It's 19:00.","Sono le 19.","[ˈsono le ditʃanˈnɔve]"
"It's 19:15.","Sono le 19 e un quarto.","[ˈsono le ditʃanˈnɔve e un ˈkwarto]"
"It's 19:30.","Sono le 19 e mezza.","[ˈsono le ditʃanˈnɔve e ˈmɛddza]"
"It's 19:45.","Sono le 20 meno un quarto.","[ˈsono le ˈventi ˈmeno un ˈkwarto]"
"It's 20:00.","Sono le 20.","[ˈsono le ˈventi]"
"It's 20:15.","Sono le 20 e un quarto.","[ˈsono le ˈventi e un ˈkwarto]"
"It's 20:30.","Sono le 20 e mezza.","[ˈsono le ˈventi e ˈmɛddza]"
"It's 20:45.","Sono le 21 meno un quarto.","[ˈsono le venˈtuːno ˈmeno un ˈkwarto]"
"It's 21:00.","Sono le 21.","[ˈsono le venˈtuːno]"
"It's 21:15.","Sono le 21 e un quarto.","[ˈsono le venˈtuːno e un ˈkwarto]"
"It's 21:30.","Sono le 21 e mezza.","[ˈsono le venˈtuːno e ˈmɛddza]"
"It's 21:45.","Sono le 22 meno un quarto.","[ˈsono le ventiˈdue ˈmeno un ˈkwarto]"
"It's 22:00.","Sono le 22.","[ˈsono le ventiˈdue]"
"It's 22:15.","Sono le 22 e un quarto.","[ˈsono le ventiˈdue e un ˈkwarto]"
"It's 22:30.","Sono le 22 e mezza.","[ˈsono le ventiˈdue e ˈmɛddza]"
"It's 22:45.","Sono le 23 meno un quarto.","[ˈsono le ventiˈtrɛ ˈmeno un ˈkwarto]"
"It's 23:00.","Sono le 23.","[ˈsono le ventiˈtrɛ]"
"It's 23:15.","Sono le 23 e un quarto.","[ˈsono le ventiˈtrɛ e un ˈkwarto]"
"It's 23:30.","Sono le 23 e mezza.","[ˈsono le ventiˈtrɛ e ˈmɛddza]"
"It's 23:45.","Sono le 24 meno un quarto.","[ˈsono le ventiˈkwattro ˈmeno un ˈkwarto]"
"It's 24:00.","Sono le 24.","[ˈsono le ventiˈkwattro]"
"It's 24:15.","Sono le 24 e un quarto.","[ˈsono le ventiˈkwattro e un ˈkwarto]"
"It's 24:30.","Sono le 24 e mezza.","[ˈsono le ventiˈkwattro e ˈmɛddza]"
"A moment ago.","Poco fa.","[ˈpɔːko fa]"
"In a little while.","Tra poco.","[tra ˈpɔːko]"
"Late.","Tardi.","[ˈtardi]"
"Early.","Presto.","[ˈprɛsto]"
"Soon.","Presto.","[ˈprɛsto]"
"Out of time.","Fuori tempo.","[ˈfwɔri ˈtɛmpo]"
"Time flies.","Il tempo vola.","[il ˈtɛmpo ˈvoːla]"
"In the nick of time.","Giusto in tempo.","[ˈdʒusto in ˈtɛmpo]"
"Ahead of time.","In anticipo.","[in anˈtiːtʃipo]"
"Around 3pm.","Verso le 3.","[ˈvɛrso le ˈtre]"
"I eat at 1pm.","Mangio all'una.","[ˈmandʒo alˈluːna]"
"I go to bed at 10.","Vado a dormire alle 10.","[ˈvaːdo a dorˈmire ˈalle ˈdjɛtʃi]"
"I wake up at 7.","Mi sveglio alle 7.","[mi ˈzvɛʎʎo ˈalle ˈsɛtte]"
"I'll see you at 5 o'clock.","Ci vediamo alle 5.","[tʃi veˈdjaːmo ˈalle ˈtʃiŋkwe]"
"Let's meet around noon.","Ci vediamo verso mezzogiorno.","[tʃi veˈdjaːmo ˈvɛrso ˌmɛddzoˈdʒorno]"
"Do you know what time it is?","Sai che ore sono?","[sai ke ˈoːre ˈsono]"
"What time do you go to sleep?","A che ora vai a dormire?","[a ke ˈoːra ˈvai a dorˈmire]"
"What time is it?","Che ore sono?","[ke ˈoːre ˈsono]"
"What time should we meet?","A che ora ci vediamo?","[a ke ˈoːra tʃi veˈdjaːmo]"
"When does the bus arrive?","Quando arriva l'autobus?","[ˈkwando arˈriːva ˈlautubus]"
"At 5:00.","Alle 5.","[ˈalle ˈtʃiŋkwe]"
"At 5 sharp.","Alle 5 in punto.","[ˈalle ˈtʃiŋkwe in ˈpunto]"
"At 7:30.","Alle 7 e mezza.","[ˈalle ˈsɛtte e ˈmɛddza]"
"Alarm.","Sveglia.","[ˈzvɛʎʎa]"
"Clock.","Orologio.","[oroˈlɔdʒo]"
"Hour hand.","Lancetta delle ore.","[lanˈtʃetta ˈdɛlle ˈoːre]"
"Minute hand.","Lancetta dei minuti.","[lanˈtʃetta dei miˈnuti]"
"Timer.","Timer.","[ˈtaimer]"
"Watch.","Orologio da polso.","[oroˈlɔdʒo da ˈpolso]"
"It takes five minutes.","Ci vogliono 5 minuti.","[tʃi ˈvɔʎʎono ˈtʃiŋkwe miˈnuti]"
"It takes an hour.","Ci vuole un'ora.","[tʃi ˈvwɔle unˈoːra]"
"For two hours.","Per 2 ore.","[per ˈduːe ˈoːre]"
"In ten minutes.","Fra 10 minuti.","[fra ˈdjɛtʃi miˈnuti]"
